id,Group,block,days_after_planting,genotype,developmental_stage,leaf,zone,CAR(12:1),CE(20:3),CE(20:4),DG(34:1),DG(36:2),DG(36:3),DG(36:4),DG(34:2),DG(34:3),DG(34:4),DG(36:5),DG(36:6),DGDG(32:0),DGDG(32:1),DGDG(34:0),DGDG(34:1),DGDG(34:2),DGDG(34:4),DGDG(34:5),DGDG(36:1),DGDG(36:2),DGDG(36:3),DGDG(36:4),DGDG(36:6),DGDG(38:2),DGDG(38:5),DGDG(38:6),DGDG(40:2),DGDG(42:2),DGDG(42:3),DGDG(44:2),GlcCER(40:1),GlcCER(34:3),GlcCER(36:3),GlcCER(38:3),GlcCER(40:3),GlcCER(42:3),LPC(16:0),LPC(18:0),LPC(18:1),LPC(18:2),LPC(18:3),LPC(20:1),LPC(16:1),LPE(18:2),LPE(18:3),MGDG(34:1),MGDG(34:2),MGDG(34:3),MGDG(34:4),MGDG(34:6),MGDG(36:3),MGDG(36:4),MGDG(36:6),MGDG(36:7),MGDG(38:1),MGDG(38:5),MGDG(38:6),PC(30:0),PC(32:0),PC(32:1),PC(32:2),PC(34:0),PC(34:1),PC(34:2),PC(34:4),PC(36:1),PC(36:2),PC(36:3),PC(36:4),PC(36:5),PC(38:2),PC(38:3),PC(38:4),PC(38:5),PC(40:6),PC(34:3),PC(36:6),PC(42:3),PC(44:2),PE(34:2),PE(34:1),PE(34:4),PE(36:2),PE(36:3),PE(36:5),PE(36:6),PE(38:7),PE(42:3),PE(44:2),PG(32:0),PG(32:1),PG(34:2),PG(34:3),PG(34:4),PG(34:5),PG(36:6),PG(36:7),PS(42:2),SQDG(32:1),SQDG(34:1),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:5),SQDG(38:6),SQDG(32:0),SQDG(36:4),TG(42:0),TG(44:1),TG(46:0),TG(46:1),TG(46:2),TG(48:0),TG(48:1),TG(48:2),TG(50:0),TG(50:2),TG(50:4),TG(50:5),TG(52:0),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:8),TG(56:3),TG(56:5),TG(56:6),TG(56:7),TG(58:6),TG(46:3),TG(48:3),TG(48:5),TG(48:6),TG(40:1),TG(40:2),TG(50:3),TG(52:1),TG(52:2),TG(54:1),TG(54:2),TG(54:7),TG(54:9),TG(56:4),TG(56:8),TG(58:15)
D11P112T,1,1,58,PT,13,12,tip,2158,39945,7668,0,0,4025,27676,42174,71432,9272,118446,157872,166740,4824,8128,23087,257012,31948,4963,7616,15221,863586,124219,1448523,0,9835,59504,395,19213,2563,2506,0,24888,129552,126544,81709,23993,42671,1453,14880,73442,34312,0,941,0,0,4499,49453,894812,32856,26237,28835,351296,1547507,21958,28987,12184,42273,0,36512,1095,5515,2412,380697,1301344,19869,12814,110038,251102,43721,942553,2418,4998,7150,39864,4086,1429655,462823,14108,6271,154330,19504,64318,2140,7447,21754,6553,2057,1549,2772,138705,191865,239850,527047,877875,84,6511,0,0,7015,6352,924154,715,72115,250741,1103,486965,29523,0,0,1875,947,1524,2198,2399,758,0,2312,2519,0,422,36064,164630,326161,197023,724,11067,42729,225171,921160,277,1646,7587,900,15177,59239,678,0,0,7207,16248,24705,1800,10292,0,940,691128,388453,663,0,3343
D11C16B,2,1,58,CML312,13,6,base,3490,37624,0,0,0,6289,7361,23923,54576,8335,53904,51937,110200,2190,4444,10251,271339,21897,2381,5821,18204,613924,55441,1443486,0,1640,34837,2472,22367,5454,6644,0,21974,112567,100518,67299,14616,50946,5059,60040,921337,1065912,811,912,1337,917,4603,49100,718321,17443,0,15533,119366,1371748,19078,24212,5874,18578,2120,15584,4846,7515,3064,301436,1098724,21724,13653,161954,145678,14227,1342043,2132,3578,4879,28323,2104,1309357,1299093,15149,3994,53336,7161,20083,2509,5047,12231,7326,6652,922,0,108819,134971,78655,427822,850894,5544,5155,0,0,5189,4509,138725,5159,71223,106702,3020,391643,10287,1040,0,6450,4595,6108,4724,6348,3583,2550,9684,1317,915,596,28673,99264,336074,617906,1152,10945,29065,80318,980986,674,4587,4355,3604,33718,84341,5226,0,0,19470,37179,61543,4346,20714,638,2470,422983,713202,587,4880,9438
D11B212C,3,1,58,B73,10,12,center,66537,14040,0,0,2956,4961,45799,44148,27486,5311,69321,17281,169649,2532,6729,9221,266834,15448,2878,11170,29930,502650,91260,1204012,2084,5045,25053,2090,26363,2723,5596,0,15871,106903,106302,66367,11986,40910,4897,74953,2114214,491937,0,2661,3846,0,3981,80025,647044,19815,13812,54437,409462,1073875,7883,24633,13450,24732,0,35588,5780,12439,2610,182912,758657,14923,19091,418695,302592,20532,1109284,5239,15535,43359,36691,1156,1109815,222806,10178,9420,42883,52040,19455,930,1364,4165,0,1224,316,0,103793,72718,203571,540120,687375,7980,5267,2378,0,5801,7095,954154,2580,74467,231480,373,591026,56110,539,0,1964,1671,2070,1803,2219,1858,1820,373,2286,2237,1494,37211,317357,225931,92092,3078,30779,158860,659446,603129,0,6028,10580,5625,4849,35625,1963,3133,2648,0,31525,8856,1719,14037,0,1598,1277312,59213,1985,1411,10924
D11C110C,2,1,58,CML312,13,10,center,29645,42613,0,0,0,4010,7869,23340,45212,8594,65909,45430,128508,897,6503,5045,190211,23050,2347,5307,16950,565862,55171,1436712,0,5734,37250,1563,17124,2861,3534,0,12839,89963,77596,55453,12545,52360,4885,89953,1275341,1085275,0,1087,2011,3323,2600,31382,546375,19547,0,30020,99719,1458437,13345,28435,7875,26980,2920,36113,6584,7516,0,297367,519635,26975,23935,263975,179284,23699,1453912,4254,4808,10258,38232,3130,1100828,1354138,16868,5717,36096,5193,14548,2029,4372,9877,5862,1618,1502,753,90982,98252,103235,443873,730083,12280,5992,0,0,1368,4644,875349,4656,67531,81829,594,433714,13935,1275,0,6214,6331,4438,4576,10942,5130,5094,4290,445,1071,4162,27783,116143,296684,613345,3439,8665,32584,90616,949434,710,3176,7783,2101,33102,87043,3848,0,2583,5317,39589,31999,5046,21573,878,3884,484923,607622,1525,3556,12260
D11P110C,1,1,58,PT,13,10,center,2471,94464,0,0,0,6526,17726,31240,75039,6119,97005,75153,158797,3769,6413,5341,247925,42355,5178,6100,13360,811681,121680,1568427,807,10185,60443,299,25335,3149,4342,0,25811,85154,123000,95226,27363,30194,1001,6338,82638,58122,0,0,1323,0,2970,45670,1101249,19619,31296,20799,286086,1530500,33232,24759,12385,46731,0,43277,6710,6909,2731,356093,1567177,24940,15376,93888,226925,33611,1409888,1811,3259,7810,43311,2762,1488737,933447,20908,7448,227587,21604,66416,3219,9940,52824,20840,9074,8495,4997,150843,227146,211590,506908,1081404,2671,7689,0,0,5302,4387,1129421,5066,69943,306212,1272,382650,26052,0,0,6559,4351,2992,6030,5857,3497,5851,2888,0,916,5487,17260,81968,149186,320351,5024,6009,15248,46686,260603,0,1629,2740,987,19059,73630,1471,0,6074,1302,19786,18954,3094,12127,744,1833,172372,22515,788,735,2528
D11C18B,2,1,58,CML312,13,8,base,3815,42063,0,0,0,3174,4537,15129,43072,4678,39887,45780,102116,2082,4299,4400,198137,9228,1401,6799,5553,595887,45824,2308408,2000,3012,22831,1548,11478,3622,5520,0,13435,86871,20364,38558,10152,32028,3206,35055,313704,346443,0,569,1556,0,4426,35525,518383,15128,0,28328,87898,2078792,12722,17708,5048,15024,1881,11373,3594,4282,2067,186715,2131973,10370,17541,99432,93184,2483,1560611,4638,0,8622,22725,1358,1807561,1510097,10793,2255,46604,6906,39533,2683,5530,10529,7406,2886,4635,1133,73847,81332,72102,376663,681650,4569,3821,0,0,5586,0,807142,3359,59022,42909,2292,272668,9063,3110,0,11704,12388,12343,12598,28184,8016,7655,2814,2447,1143,10593,26436,73611,200962,457546,4786,6348,18594,39435,411323,0,2612,6330,1678,17059,51237,5821,1366,2599,7171,36091,27568,6692,18070,1480,5325,242539,241446,1272,1402,9164
D11C26T,2,1,58,CML312,10,6,tip,1947,38706,0,0,0,4774,12447,12056,38742,3263,45090,22808,158027,660,2147,2975,254637,15608,1149,7472,23831,883740,39675,1830784,1851,2390,16707,2918,11468,5807,9039,2050,21558,128426,117875,57931,17763,41647,4504,11370,115751,35943,0,0,2722,0,6678,71130,1131808,26435,0,99050,238232,1256332,19224,26923,7865,22694,0,28412,8107,18464,3720,467274,1509769,18848,46138,443515,258168,40056,1721084,9217,9920,23219,37804,5703,1585712,1025448,12598,4790,388714,40911,33882,6446,34984,86141,30143,11648,19913,4849,91818,145131,93214,428460,785062,1585,3312,1065,0,4262,4396,906114,2396,56559,56731,1536,222776,9436,2034,0,8049,6337,3963,8195,9915,6215,9362,1889,1928,1822,11592,45683,107966,232192,266015,6769,17935,37812,71559,224766,1286,6159,12100,1830,15612,67739,2862,1693,2630,3275,44634,34184,5056,20013,1487,5736,188713,80944,2632,1714,0
D11B18T,3,1,58,B73,11,8,tip,13128,39079,0,0,2370,4041,33222,26008,39118,4370,90722,43222,233038,2955,10905,14793,330988,26457,2285,5898,12893,651246,88404,1327862,2472,8515,41929,2556,29581,6233,9836,0,15707,89993,52399,53389,13603,27143,4366,61250,2079116,1028841,0,1594,1047,0,3686,85151,598719,21926,17140,21758,299088,417855,13491,20919,11199,21559,0,8576,2346,8575,1917,157367,867180,16609,14039,222174,183253,7445,1300577,6316,6033,16250,34968,1269,1325726,546949,10934,6873,31268,26032,24180,2750,0,6127,0,0,319,0,130577,140062,362389,333870,750864,7331,1145,1550,0,5995,6990,1070988,4688,87076,336759,1038,734943,54980,1259,0,5392,3809,2525,5806,5542,3483,8388,887,2114,1610,9104,28070,216872,418947,235933,4072,14453,60639,181986,646536,696,3062,6047,3425,19243,84578,1369,2067,1377,0,22506,13474,2523,8743,924,2372,584313,89588,1964,0,12508
D11B24C,3,1,58,B73,10,4,center,2754,44424,0,0,4257,12512,12951,25591,48745,3967,85308,99659,150356,1588,9379,7752,302424,17565,1918,4046,25200,703442,52944,1469872,2989,1053,25016,2239,27026,6705,11422,0,15847,127255,89637,53110,12313,26278,8625,11562,503772,420294,0,1133,8693,6606,1992,38275,582564,8388,0,69815,117022,1719514,9973,15933,2600,9866,0,11613,1365,3445,2849,41177,1185024,11944,8823,150094,45586,0,738829,4484,4961,8136,16829,1057,1259888,535720,0,1768,116645,15776,25486,4420,19213,19852,10485,5949,3423,902,59346,58913,118480,153643,395286,0,2669,0,9871,5142,3714,497117,5303,74943,137008,3498,427133,19867,3146,0,13775,10735,9055,12775,27545,6581,11778,2692,2879,3404,12648,48802,182990,666671,828142,5196,27721,96853,271567,1834587,1478,8387,20591,5709,21392,88652,5324,0,2811,3511,38525,34388,5666,15699,2728,5430,835934,1214903,2544,2786,0
D11B16T,3,1,58,B73,11,6,tip,5461,52602,0,0,4627,0,17101,28882,38947,4131,102470,64916,188342,793,8745,8769,273307,19039,1919,4021,10964,649556,66572,1623690,2261,5287,26615,3651,25052,6731,7143,0,17672,125552,102593,64673,20846,25234,5430,49718,1854044,934370,0,2839,228,0,2715,50484,519564,11876,0,44260,180794,1694137,9240,21703,6644,10909,4153,8105,1985,659,2205,69290,1553458,10883,8885,135356,64264,6608,967957,4016,3007,6325,19688,892,1566826,423784,8835,2211,42560,7188,40736,2689,4413,7400,0,1736,545,0,105136,78422,273914,270209,490123,1432,2807,1353,0,6889,4828,1109831,3540,86870,210606,3377,642041,36553,1634,0,7359,3535,4375,8602,11555,5816,11000,1944,1434,1812,14802,31857,136453,395624,311198,6573,15167,45177,99108,525865,0,3474,5835,2228,34426,96247,2457,0,2922,1540,25378,19613,4266,12702,1168,1930,382819,35367,1638,0,0
