"samples","CAR(12:1)","CE(20:3)","CE(20:4)","DG(34:1)","DG(36:2)","DG(36:3)","DG(36:4)","DG(34:2)","DG(34:3)","DG(34:4)","DG(36:5)","DG(36:6)","DGDG(32:0)","DGDG(32:1)","DGDG(34:0)","DGDG(34:1)","DGDG(34:2)","DGDG(34:4)","DGDG(34:5)","DGDG(36:1)","DGDG(36:2)","DGDG(36:3)","DGDG(36:4)","DGDG(36:6)","DGDG(38:2)","DGDG(38:5)","DGDG(38:6)","DGDG(40:2)","DGDG(42:2)","DGDG(42:3)","DGDG(44:2)","GlcCER(40:1)","GlcCER(34:3)","GlcCER(36:3)","GlcCER(38:3)","GlcCER(40:3)","GlcCER(42:3)","LPC(16:0)","LPC(18:0)","LPC(18:1)","LPC(18:2)","LPC(18:3)","LPC(20:1)","LPC(16:1)","LPE(18:2)","LPE(18:3)","MGDG(34:1)","MGDG(34:2)","MGDG(34:3)","MGDG(34:4)","MGDG(34:6)","MGDG(36:3)","MGDG(36:4)","MGDG(36:6)","MGDG(36:7)","MGDG(38:1)","MGDG(38:5)","MGDG(38:6)","PC(30:0)","PC(32:0)","PC(32:1)","PC(32:2)","PC(34:0)","PC(34:1)","PC(34:2)","PC(34:4)","PC(36:1)","PC(36:2)","PC(36:3)","PC(36:4)","PC(36:5)","PC(38:2)","PC(38:3)","PC(38:4)","PC(38:5)","PC(40:6)","PC(34:3)","PC(36:6)","PC(42:3)","PC(44:2)","PE(34:2)","PE(34:1)","PE(34:4)","PE(36:2)","PE(36:3)","PE(36:5)","PE(36:6)","PE(38:7)","PE(42:3)","PE(44:2)","PG(32:0)","PG(32:1)","PG(34:2)","PG(34:3)","PG(34:4)","PG(34:5)","PG(36:6)","PG(36:7)","PS(42:2)","SQDG(32:1)","SQDG(34:1)","SQDG(34:3)","SQDG(34:4)","SQDG(36:3)","SQDG(36:5)","SQDG(38:6)","SQDG(32:0)","SQDG(36:4)","TG(42:0)","TG(44:1)","TG(46:0)","TG(46:1)","TG(46:2)","TG(48:0)","TG(48:1)","TG(48:2)","TG(50:0)","TG(50:2)","TG(50:4)","TG(50:5)","TG(52:0)","TG(52:3)","TG(52:4)","TG(52:5)","TG(52:6)","TG(54:3)","TG(54:4)","TG(54:5)","TG(54:6)","TG(54:8)","TG(56:3)","TG(56:5)","TG(56:6)","TG(56:7)","TG(58:6)","TG(46:3)","TG(48:3)","TG(48:5)","TG(48:6)","TG(40:1)","TG(40:2)","TG(50:3)","TG(52:1)","TG(52:2)","TG(54:1)","TG(54:2)","TG(54:7)","TG(54:9)","TG(56:4)","TG(56:8)","TG(58:15)"
"D11C112B",171585,26208,0,2863,5058,6519,36176,49819,41459,5081,65839,9908,195506,1052,12762,87686,357701,15983,0,15897,44265,528992,101795,1250209,3414,5069,29757,3458,20308,1529,10966,0,26986,106678,126692,83049,"18155",108882,11851,99962,1234627,183261,0,1272,6888,0,14209,145201,838321,25967,8873,54547,389983,1092793,10540,23810,9233,31520,1918,62353,12776,12077,4355,794711,1164920,19581,68298,1187556,515731,48553,1284426,15404,8951,51767,47283,4651,1121748,419506,15755,14726,175253,21240,26647,2163,10174,25156,4267,3794,2901,1173,100734,72256,117058,610385,720079,10185,604,0,36887,5266,11680,929627,2365,61540,57514,362,497373,25558,0,0,9561,8134,7790,6817,19060,4902,6893,12775,2992,2292,13228,44938,175838,151171,94745,6027,20623,65125,92161,113522,1951,3961,2837,2571,7518,49695,4387,5848,5851,1411,43942,20293,4919,15439,2744,5214,201516,9639,1638,282,7481
"D11C18T",6445,44549,0,761,4517,5729,10028,21983,59725,5195,94041,74584,102177,782,7387,10569,182644,17355,2046,4186,18832,477333,46550,1446608,0,3138,23877,1809,14421,4064,7686,0,18268,41739,88701,47756,"16888",50163,10120,124662,1601265,1366572,0,2055,7872,8666,3525,31707,396884,7767,0,47712,128107,1594870,10061,21878,4751,10310,3530,15579,3223,795,2529,164357,1336937,13521,18695,174537,84548,9020,1134447,5512,7063,6179,18577,1374,1338175,977567,9072,2204,68131,12744,17834,3570,8807,14847,9286,3498,2500,0,80287,68192,126244,370205,496437,5751,4944,0,11794,4496,3634,1017642,0,71308,118615,503,325967,12764,3863,0,15258,13499,12721,10449,24894,9459,6606,9466,4387,2956,10250,40376,132334,376304,549984,5421,26550,118005,124885,848415,716,12432,35769,4024,7271,97262,5875,0,5851,2394,46924,41079,6272,14142,4379,6922,389992,146291,4263,537,11357
"D11C212C",175320,13100,0,1688,4102,1561,32463,32583,22820,6432,59031,11143,156583,778,11075,73445,316963,17626,0,10938,32466,429038,125064,1215335,2805,6847,37358,1682,12068,593,5629,0,21839,86467,86033,53702,"13967",67459,11000,213201,1943086,616115,5081,677,4341,0,13026,126359,625879,36967,10733,80526,481235,1324716,9770,27635,11754,36078,0,58715,12821,22879,3916,753562,553491,30257,63712,879270,729234,48501,1171236,4317,49800,62330,48909,7294,1171136,302961,6889,4885,48012,5974,36741,1526,3735,4864,0,2219,470,0,83018,90802,125757,674753,901440,9916,6419,3390,0,6263,15027,1020726,4558,65859,6242,5162,500485,42411,2093,0,5867,6995,2792,6369,9630,6611,6615,3726,1979,3144,11229,17724,121969,101721,23536,5467,22859,112214,153178,109099,795,3577,3542,2523,5604,39351,2844,7819,5651,0,14849,5024,3117,7691,1565,2405,270193,4775,2041,0,15373
"D11C28C",8592,40066,0,842,2675,761,19636,13070,38725,6200,69856,25006,239731,3862,6142,30506,292052,28913,839,2013,18505,583932,57416,1622266,758,4963,43221,1226,11773,3494,6866,0,16469,94810,52378,45580,"12920",29709,1362,21270,541382,117783,0,0,2507,0,7456,102263,1170768,40865,20440,96193,282973,1680180,25755,26731,10147,52862,0,20127,9573,15891,2974,492392,1126420,27456,32242,402463,443650,50313,1404000,8400,11142,30683,60095,1661,1617612,879087,4620,2940,141095,14974,30914,2701,6500,26467,7265,5238,2819,0,89212,205863,105135,477557,1113143,248,732,0,0,4948,4856,1196639,6372,62750,38313,1089,429270,13954,2050,0,5817,1872,2396,10157,7060,4760,10917,18846,921,1786,12384,31752,110851,244215,125660,6869,11992,35584,38719,126473,1128,3425,3918,2862,7054,74707,1221,2467,5666,760,27158,20994,3749,13029,2156,4845,137422,8367,1780,0,4024
"D11C28B",3688,24219,0,0,2673,2140,17247,17305,28688,3500,51095,29275,219937,2987,7375,35508,353134,25274,1073,0,20257,608110,65093,1986601,511,2250,34960,2144,10566,3137,5630,0,13088,70464,55641,38717,"11115",27237,1259,7299,149530,38110,0,0,1616,0,8026,85749,945129,35416,15159,67632,269336,1629139,17273,18527,10062,43586,0,16030,7227,11042,2493,357423,1904918,16692,30533,333684,274838,41658,1647166,8100,10255,27761,48694,861,1975411,657803,7578,2647,210196,33398,39466,4002,9499,36118,8864,9052,6055,0,86456,145690,113668,469447,1083503,6185,3688,1794,0,5785,5612,1106851,22,49139,10449,2976,442037,15205,3064,0,2659,5839,3464,10378,8626,5631,8733,13388,1579,1362,10488,22394,104166,203770,106332,1107,10608,29978,42883,110114,1038,2721,3336,1867,2384,36733,1663,1697,2126,585,23502,15509,3935,7541,1514,3126,162804,10643,1544,0,1434
"D11C212B",143282,1379,0,12631,6894,12756,93415,37528,17979,0,77500,4794,94922,3219,3471,139566,489066,6578,0,13738,35545,100459,141692,0,2955,3528,8025,2051,9049,609,13605,0,37078,135012,125374,71258,"19466",297945,32003,649318,807083,30710,6505,758,11061,0,25999,86425,125963,11901,551,99185,260231,1651291,0,20301,3360,4809,0,301145,33279,94662,15274,1569041,1074733,3838,155665,1178076,1512182,125427,1111861,16101,88140,63578,15941,3654,1383263,137636,2698,3353,470669,44585,46533,3120,11867,16137,0,4651,2358,0,86317,4440,162541,231537,33145,0,0,0,20013,4801,18956,559801,0,16985,42982,1653,290702,27316,2932,0,12136,18061,8369,13933,26373,16588,9740,11341,2486,1430,9519,79498,304782,149907,16212,9515,48702,301467,448188,110058,1156,6535,3737,2647,630,17629,4446,1010,1045,1176,30654,8343,5377,12657,4558,4249,359697,2772,3270,0,10437
"D11C28T",2850,36792,0,0,3777,0,12126,10704,32515,3531,54802,54929,140481,1973,7494,12325,140487,8100,1153,0,13624,463208,34142,2285509,0,1390,16703,1366,8758,3892,4665,0,11872,75192,47212,25758,"11111",34219,3272,22756,207651,99033,0,818,3512,3366,2255,32724,484908,13428,0,41758,121623,2369928,9907,15823,5971,17591,0,17892,1878,1597,3901,265618,1229348,11519,36698,319315,466182,20368,1813690,8987,6934,14191,27403,6794,2272486,1120671,6440,1972,150099,15020,27724,4476,16865,30235,11542,6399,7415,0,69548,102105,83614,316707,484519,3694,2412,0,0,4963,4060,723488,0,35694,27053,0,238070,9230,2453,0,8621,7736,4313,13463,11670,3196,11816,16035,3309,2469,13019,38869,153810,439385,370386,13225,33974,126973,158540,654907,3688,11128,19809,3929,4539,52906,2243,0,5141,594,23622,17468,4267,17014,4060,7871,459415,78291,4251,0,4446
"D11C110T",204950,55388,0,0,2109,2574,14224,7937,58823,8631,78351,45177,130200,1091,8824,13496,148746,25380,2336,978,10844,361486,51727,1364400,1091,5171,45971,1566,11666,3438,4534,0,13937,78068,56547,40703,"11923",47240,1924,84414,1184255,741718,0,1867,1161,5628,3660,34056,481532,12381,0,51881,104071,1259621,14673,26890,6723,23609,2185,18116,9246,9366,3361,383378,611347,30310,24779,233490,506488,31691,1464722,7555,10056,14033,39437,1761,1330427,1273971,5287,2289,138707,14223,23145,3748,9705,42016,18601,6803,3131,0,133900,128570,115460,528807,722707,13567,7382,1513,0,5281,4518,1006585,7667,72957,90465,4998,497286,12082,3105,0,6123,5909,2156,9756,7494,4947,8167,11064,2962,1937,8901,33090,180134,529209,407090,4289,15470,77721,98595,885649,1652,3820,8027,4162,7425,97298,1723,0,4148,640,19473,22126,3982,7470,2779,2559,409874,85368,1772,0,19567
"D11C110B",87732,37566,0,0,866,1557,25994,18318,69733,5916,101697,28985,224521,3650,16380,40033,403072,22819,3300,3560,36296,573198,83793,1175842,2948,6885,37467,1268,22720,5882,13638,0,25717,99041,85263,60317,"22525",76078,6987,133586,1307863,610547,0,309,468,2352,5845,87380,597068,17983,8732,50337,194283,1074283,10806,21749,7483,23294,4170,20740,8381,8415,3506,502860,655802,24740,36214,499217,604899,29105,1283113,9429,12318,20328,39712,1869,1055818,1025604,1776,3627,61113,6076,35222,1613,5524,12458,4682,3140,1305,804,97217,83848,151541,517997,647224,18926,4473,0,0,2123,2994,940062,3789,65711,134136,3777,558439,22271,2355,718,7054,10433,5492,9903,13418,8587,7317,14703,1930,1630,6993,31909,196984,499781,283540,5094,17050,88038,102237,760571,2234,5520,7353,5871,7639,76389,1968,0,6462,0,26160,19637,3392,9983,2803,3450,421814,72945,2405,0,9962
"D11C14T",3041,64645,0,0,0,0,6802,0,31748,1332,31389,41145,73898,1626,5182,11660,151008,6286,0,0,13287,494909,29685,2084951,0,2315,14415,0,4826,3789,5321,0,15651,108945,57959,37250,"12965",35703,3685,34818,286947,361461,0,196,7593,11720,5594,28915,495757,8011,0,19773,68037,1977556,9102,13694,7442,12093,0,9031,3558,945,4636,179315,1730989,9151,22580,128346,488264,18607,1306160,4033,6148,7983,9169,5250,2078685,1492741,0,1765,237608,103069,37012,21528,35448,50901,39375,14118,18435,0,47468,72126,48298,220165,401766,0,533,0,14520,0,0,831705,3155,61757,25433,2336,194323,6991,12249,0,59669,94200,42153,61274,141625,87383,24521,46612,7850,3193,19411,45451,93522,271936,388753,13889,9911,44109,61343,402407,1205,3359,7338,2130,2290,55027,19202,1805,4363,2525,110190,40502,22795,29328,20617,14892,187134,74360,2894,0,660
