id,Group,block,days_after_planting,genotype,developmental_stage,leaf,zone,Acylcarnitine_12:1,CE_20:3,CE_20:3,CE_20:3,CE_20:4,Cer_NS_d18:2_18:1,Cer_NS_d18:2_20:1,Ceramide_C17,Ceramide_C17,Ceramide_C17 ,Cholesterol,Cholesterol_d7,CUDA,DG_12:0_12:0_0:0,DG_12:0_12:0_0:0,DG_18:1_2:0_0:0,DG_18:1_2:0_0:0,DG_34:1,DG_34:1,DG_36:2,DG_36:3,DG_36:4,DG_16:0_18:2,DG_16:0_18:3,DG_16:1_18:3,DG_18:0_18:3,DG_18:2_18:2,DG_18:2_18:3,DG_18:3_18:3,DGDG_16:0_16:0,DGDG_16:0_16:1,DGDG_16:0_18:0,DGDG_16:0_18:1,DGDG_16:0_18:2,DGDG_16:1_18:3,DGDG_16:1_18:3,DGDG_16:2_18:3,DGDG_18:0_18:1,DGDG_18:0_18:2,DGDG_18:0_18:3,DGDG_18:1_18:3,DGDG_18:3_18:3,DGDG_20:0_18:2,DGDG_20:1_18:4,DGDG_18:3_20:3,DGDG_22:0_18:2,DGDG_24:0_18:2,DGDG_24:0_18:2,DGDG_24:0_18:3,DGDG_26:0_18:2,DGDG_26:0_18:2,GlcCer_d40:1,GlcCer_NS_d18:2_16:1,GlcCer_NS_d18:2_18:1,GlcCer_NS_d18:2_18:1,GlcCer_NS_d18:2_20:1,GlcCer_NS_d18:2_22:1,GlcCer_NS_d18:2_22:1,GlcCer_NS_d18:2_24:1,LPC_16:0,LPC_17:0,LPC_18:0,LPC_18:1,LPC_18:2,LPC_18:3,LPC_20:1,LPE_17:1,LPC_16:1,LPC_18:1,LPC_18:2,LPE_18:2,LPE_18:3,MGDG_16:0_18:1,MGDG_16:0_18:2,MGDG_16:0_18:3,MGDG_16:1_18:3,MGDG_16:1_18:3,MGDG_16:3_18:3,MGDG_18:0_18:3,MGDG_18:1_18:2,MGDG_18:2_18:2,MGDG_18:2_18:4,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:3,MGDG_18:3_18:4,MGDG_16:0_22:1,MGDG_20:2_18:3,MGDG_18:3_20:3,PC_30:0,PC_32:0,PC_32:1 ,PC_32:2 ,PC_34:0 ,PC_34:1 ,PC_34:2 ,PC_34:2,PC_34:2,PC_34:4,PC_36:1 ,PC_36:2 ,PC_36:2 ,PC_36:3 A ,PC_36:4_B ,PC_36:4_C,PC_36:4_C ,PC_36:5_B,PC_38:2 ,PC_38:3 ,PC_38:4_A ,PC_38:5_A,PC_40:6_B,PC_16:0_18:2,PC_16:0_18:3,PC_18:2_18:3,PC_18:2_18:3,PC_18:2_18:4,PC_18:3_18:3,PC_18:3_18:3,PC_18:2_20:2,PC_20:2_18:3,PC_16:1_26:2,PC_22:1_22:1,PE_17:0_17:0,PE_34:2,PE_16:0_18:1,PE_16:1_18:3,PE_18:0_18:2,PE_18:0_18:3,PE_18:2_18:3,PE_18:3_18:3,PE_22:3_16:4,PE_26:0_16:3,PE_22:1_22:1,PG_16:0_16:0,PG_16:0_16:1,PG_16:0_18:2,PG_16:0_18:3,PG_16:0_18:4,PG_16:1_18:3,PG_16:1_18:4,PG_18:3_18:3,PG_18:3_18:4,PS_24:0_18:2,SM_d35:1,Sphingosine_d17:1,SQDG_16:0_16:1,SQDG_16:0_18:1,SQDG_16:0_18:3,SQDG_16:1_18:3,SQDG_18:0_18:3,SQDG_18:2_18:3,SQDG_18:3_20:3,SQDG_16:0_16:0,SQDG_18:2_18:2,TG_14:0_14:0_14:0,TG_17:0_17:1_17:0,TG_17:0_17:1_17:0,TG_44:1,TG_46:0,TG_46:1,TG_46:1,TG_46:2,TG_46:2,TG_48:0,TG_48:0,TG_48:1,TG_48:1,TG_48:2,TG_48:2,TG_50:0,TG_50:2,TG_50:4,TG_50:4,TG_50:5,TG_52:0,TG_52:3,TG_52:3,TG_52:4,TG_52:4,TG_52:5,TG_52:5,TG_52:6,TG_54:3,TG_54:3,TG_54:4,TG_54:4,TG_54:5,TG_54:5,TG_54:5,TG_54:6,TG_54:6,TG_54:6,TG_54:6,TG_54:6,TG_54:6,TG_54:8,TG_54:8,TG_56:3,TG_56:5,TG_56:6,TG_56:7,TG_58:6,TG_12:0_16:0_18:3,TG_12:1_12:1_22:1,TG_14:0_16:0_18:3,TG_12:0_18:2_18:3,TG_12:0_18:3_18:3,TG_16:0_16:0_18:1,TG_16:0_16:0_18:2,TG_16:0_16:0_18:2,TG_16:0_16:0_18:2,TG_12:1_16:0_22:2,TG_16:0_16:0_18:3,TG_16:0_16:0_18:3,TG_16:0_18:0_18:1,TG_16:0_18:1_18:1,TG_16:0_18:1_18:1,TG_16:0_18:1_18:1,TG_16:0_18:1_18:2,TG_16:0_18:1_18:2,TG_16:0_18:2_18:2,TG_16:0_18:2_18:2,TG_16:0_18:2_18:2,TG_16:0_16:0_20:5,TG_16:0_18:2_18:3,TG_16:0_18:2_18:3,TG_16:0_18:3_18:3,TG_16:0_18:3_18:3,TG_16:0_18:3_18:3,TG_18:0_18:0_18:1,TG_18:0_18:1_18:1,TG_18:1_18:1_18:2,TG_18:1_18:1_18:2,TG_18:1_18:2_18:2,TG_18:2_18:2_18:3,TG_18:2_18:2_18:3,TG_18:2_18:2_18:3,TG_14:2_20:3_20:3,TG_18:2_18:3_18:3,TG_18:2_18:3_18:3,TG_18:3_18:3_18:3,TG_18:3_18:3_18:3,TG_18:2_18:2_20:0,TG_18:2_18:3_20:0,TG_18:2_18:2_20:2,TG_18:2_18:3_20:2,TG_18:3_18:3_20:2,TG_14:3_22:6_22:6
D11P112B,1,1,58,PT,13,12,base,4152,0,9057,9690,0,7149,11348,0,0,0,5749,0,118094,7283,0,0,449,2011,0,5329,6155,7536,74718,40568,9151,2302,42627,175051,36053,186796,576,7282,70165,430258,19279,6883,5074,10681,20072,547626,148703,1549757,3990,12077,60174,4595,8149,6475,711,4286,1516,0,25325,33476,100305,126555,49297,29390,28354,55922,1030,3155,8091,40006,8249,0,0,630,350,16594,2519,0,7357,109398,944076,6841,19226,25517,43743,44831,731555,42893,739,17286,13706,30552,87846,19764,1416713,13981,12354,27749,18135,59192,0,91537,10532,10464,4649,557057,1299211,71004,3542,17649,32764,200024,126215,486289,12582,13777,0,6446,6919,19999,6761,18123,7970,19434,1261550,860171,25219,21271,116873,114927,30594,22932,8010,8073,1958,350468,30994,91322,2962,10623,32550,4556,8141,4536,1337,127846,101890,197867,633669,1011877,3547,376,6553,3409,82127,0,0,7360,7509,992194,680,50840,160928,270,450760,43824,1490,0,346,0,5369,671,1657,0,1751,1277,5299,1003,4269,662,3053,10929,6055,1584,1440,1819,12172,4301,827,16000,100302,5681,23347,4776,0,5754,1685,3194,0,7227,0,27807,284,416,170437,6468,0,6179,145005,0,0,623,0,2182,488,36759,1494,3083,1206,750,2146,1762,11412,1321,6561,1038,2571,0,997,8140,1473,24457,16289,2283,102140,17693,103369,0,5300,52389,2421,1160,2141,0,16927,51983,29284,371760,5039,1048,28134,7209,8684,3421,2015,3292,3784,3693,0,1340
D11B110B,3,1,58,B73,11,10,base,18061,0,5936,6298,0,9420,12052,0,0,0,4670,0,121002,6721,0,0,0,0,0,5753,1069,6899,62388,27171,7089,1871,42002,147642,23411,261126,868,10025,47080,526853,10385,6659,2929,9880,29529,482215,146267,1567075,657,6262,26231,4159,15877,6704,3419,6870,1535,0,16771,44532,112032,134767,41982,29551,19521,33963,1112,2119,59242,1312972,216998,0,0,1544,25008,578961,12334,0,8908,117674,810829,1959,10873,12443,19499,19931,521669,26135,555,12697,11453,169747,20482,11220,1292255,3746,1471,36303,14255,24112,2783,26273,8587,9176,2623,196015,903838,76625,46106,10774,15665,153980,92879,210892,2137,8796,3628,3088,5540,12418,4730,11203,633,18265,1174557,627469,17207,20187,69144,54502,26374,16440,5472,6081,0,121497,16532,24665,2349,6474,7202,1618,4420,881,512,114957,68783,194393,494561,643209,770,481,3380,0,23697,0,0,9078,10197,1155513,2732,47986,149793,2880,634238,54592,2964,0,0,0,10523,1878,5635,1311,5296,2119,6948,2913,12769,1741,8991,7487,4460,382,0,1797,13230,4563,7542,10369,144911,9418,132703,5085,0,10821,3829,3865,0,9739,0,36897,1180,835,276025,9431,1452,10755,197227,1140,0,822,0,4090,0,43392,4027,2750,2179,1707,3902,5426,25138,0,6123,1166,3208,1757,2210,8863,2364,26985,24058,3487,129736,21659,131115,3034,5004,48121,2504,2854,4841,0,22628,59842,46278,587169,10688,1642,36566,10663,8751,3637,3101,4238,5081,4665,0,1434
D11B112T,3,1,58,B73,11,12,tip,17895,0,11078,12356,0,7041,9944,0,0,0,1361,0,81785,4924,0,0,0,0,0,5253,4103,5976,62300,30197,8946,3425,41487,137263,86589,228304,781,12831,19721,283586,8201,12460,0,5575,17820,561138,94152,1556019,2500,7446,34197,1545,14138,6212,3489,2489,3692,0,15713,24317,90456,115254,39509,29754,17706,34824,0,3900,55895,1205621,250906,0,0,6491,28103,697986,1210,0,5038,75467,447321,5101,15065,12344,17764,12118,348352,27447,876,12505,12127,138705,18996,10007,1370142,8145,7893,30063,13643,22929,0,8125,3740,8006,2213,115299,1063436,60334,16238,11597,12292,137257,79912,146957,6550,0,6456,4327,5772,8599,3825,10446,7539,11477,1044272,687789,14917,14251,89732,34776,14278,15011,3457,5163,1416,18435,5431,40325,0,0,2136,0,0,527,493,125256,105630,307720,476696,693539,1068,16430,800,0,0,0,0,7826,9056,1133665,4707,87669,232962,787,700714,85747,2118,522,0,0,6066,1063,4735,583,2939,1314,6126,1091,4884,884,4869,7519,6772,210,1459,2922,13860,4056,27368,25609,200893,6905,65806,4702,0,8618,4640,4812,0,12910,2901,57564,1904,832,477076,16802,0,20047,413212,0,474,1030,0,8541,0,77103,2268,2271,3011,843,2710,2410,17955,1875,7955,1315,2872,0,0,10370,1907,24352,26019,5428,204304,25248,204030,3591,8462,71673,4550,1668,2070,840,36815,123064,42350,861622,12578,1510,62578,16309,14716,8117,3241,6005,7558,6106,663,8185
D11P212B,1,1,58,PT,13,12,base,7646,0,8845,8694,0,2616,8420,0,0,0,4227,0,90041,5477,0,0,0,0,0,6952,1816,6344,32788,30768,3593,1448,43112,68709,62318,112681,3587,10986,46675,304014,15804,5961,591,0,44312,761152,139167,1366589,1180,16643,59226,910,7189,4245,3016,2422,717,0,14410,13158,50604,63999,32079,13332,45814,40222,845,5198,16383,537187,103958,0,0,845,11207,290985,9361,2053,11363,103131,793558,4051,30944,26802,57751,58500,955748,39482,0,17657,13667,701294,99648,21763,438139,5627,10950,17206,34191,58719,707,35331,12154,15394,3377,597386,897586,72695,65916,17730,65221,706576,602685,325588,16772,10146,0,5194,6180,54365,3768,18827,1488,5358,1333458,918963,62987,23653,174415,78482,66908,46188,3253,4777,583,429759,43904,40053,929,9477,52633,5145,10803,5216,694,127828,97327,323917,632895,940801,1450,1983,9166,5428,58552,0,0,5190,7114,1019522,1061,74683,74739,4302,272940,34646,1653,0,220,0,3925,837,2594,0,3037,1314,6284,777,4236,776,3189,7498,7809,3628,646,6147,5485,2953,18372,11455,71875,11229,74568,2305,1146,8293,2465,1586,0,8654,0,18132,436,0,145394,3914,0,11888,57859,527,0,493,0,1503,0,40134,3034,15456,9998,0,2032,1089,10570,617,5876,628,2223,0,646,6268,784,15795,11788,0,72438,10707,75251,1047,2883,30718,1214,1226,2571,0,22533,51825,14903,217520,2287,0,11241,1409,4052,863,2531,4521,3101,3086,0,0
D11B14T,3,1,58,B73,11,4,tip,3550,0,19217,20624,0,10900,10889,0,0,0,520,0,131729,6582,0,0,0,0,0,1439,0,2787,10653,44315,2915,3177,11432,73665,61367,235983,1840,13102,9608,277197,5019,12090,1694,2175,30627,867117,52336,1722463,2694,5080,25881,0,0,11793,8875,6761,14842,0,15980,17932,113023,65944,27442,6617,15317,23808,0,2391,721,104078,116221,0,0,0,4508,91104,1665,3304,5051,64489,1090572,0,10447,0,131469,16308,153603,25876,787,10962,12650,129595,35620,8533,1226715,7073,9358,22377,7332,14775,0,6136,2395,2649,4369,86230,1635386,66258,26527,8199,16279,186252,134280,630489,0,0,0,12203,6947,7550,3251,8475,0,8870,1704267,1126038,63998,64766,722399,42361,1440,13559,2737,2733,1974,171545,19335,15485,7166,28097,34638,16891,8259,7865,0,60890,70107,91401,156317,427220,0,0,0,0,13957,0,0,5357,0,1041986,0,90511,91890,0,617883,13839,2311,0,0,0,7055,1106,6123,0,3274,1727,2939,1435,9023,1210,5665,11363,18589,720,1412,2998,13932,3577,10047,11639,73156,32299,237700,16268,0,4911,2268,2570,0,9321,0,8186,4524,977,66714,46200,0,60968,412960,2104,0,6098,0,7132,0,87632,3041,1738,5126,606,0,1593,21975,1825,35905,1445,4138,0,0,16121,3233,24312,12086,1863,69803,33871,231239,2516,22466,427267,7188,2914,5256,732,17545,52076,17973,323026,3923,1085,58914,7834,50069,6446,2310,5448,6877,2054,0,0
D11B18C,3,1,58,B73,11,8,center,14457,0,16469,16729,0,5397,8292,0,0,0,1130,0,87611,4129,0,1331,0,0,0,2971,2155,6461,15445,43057,4970,0,41632,99464,53700,209377,466,10468,16307,324575,10767,20524,639,1441,25088,489448,93228,1228573,3139,10117,50902,1189,6182,9465,4572,5999,2567,0,13856,10855,68703,55629,31590,9971,14750,29844,791,3589,36944,1182180,759309,0,0,1497,17659,812474,7410,3456,4680,87822,597992,4774,6343,12433,47216,7837,328959,38004,3166,15745,11448,182226,85605,16253,188279,10340,15790,29024,11376,32129,1633,21414,4370,10492,2441,178428,1056079,58732,5721,14927,13802,186987,102461,194410,0,0,8712,8584,8707,6755,2130,12853,1017,7227,1209896,762971,65099,19959,342036,49562,18915,26293,2942,3007,1020,81816,10579,24627,2417,3285,12811,2812,3396,271,0,123974,139654,312294,393722,839290,2429,5597,3825,538,0,0,0,4580,6848,1080843,7969,97597,288209,5089,601417,61291,2607,0,448,0,4464,707,1044,0,1853,1154,7739,0,4690,548,307,8801,12622,1694,0,2434,5014,3152,21770,21806,175340,29286,270791,8531,0,6885,2740,3399,0,8297,765,34147,0,0,331523,8109,0,78129,617234,0,0,1248,0,6364,0,82198,1253,2253,6031,625,2001,1363,15963,1664,9618,715,2711,0,0,8670,1373,22430,22646,0,169379,29491,267558,3166,8501,131404,4346,1906,3866,0,25095,74580,48085,798212,5733,1133,74790,9652,25235,5351,2592,3763,3885,5369,0,3279
D11P212C,1,1,58,PT,13,12,center,11557,0,17056,17704,0,3244,6899,0,0,0,3356,0,80631,1203,0,0,0,490,1575,2865,762,5232,21172,44962,3577,1886,22914,68694,29002,148865,645,27363,24714,251913,20015,10216,4073,0,51256,815007,98844,985693,1399,12973,56281,1750,5310,10204,4535,1422,3822,0,14814,9036,36969,64446,34531,11807,38590,58949,4659,5276,83208,925936,945415,0,0,3135,31991,609583,12986,5790,5790,71554,539359,4601,19500,17350,62321,12666,395966,5398,446,13950,10163,903534,83045,15921,981819,7847,12140,20142,11965,25271,0,44538,8028,13889,3506,546390,249266,37572,6558,24254,41877,416810,398543,378882,12608,19623,0,11491,6215,8001,3436,11664,273,13781,924126,985307,44021,22914,685669,57527,25052,40749,3304,3247,373,129591,15084,34073,1244,4310,30921,6485,5614,991,0,133000,151231,300028,353904,658854,2099,3574,7811,4593,26901,0,0,4617,5340,882349,3262,130320,130087,5139,442783,28557,1658,0,0,0,4496,817,4199,438,1346,238,1589,1032,5672,834,3989,7065,13515,1778,1519,4097,8452,3453,26798,13861,109269,22550,205223,9994,0,7858,985,721,0,6953,0,21730,0,523,199548,11165,0,45416,352568,617,0,1051,0,7899,0,63550,2680,11388,14010,375,2615,1459,18892,1423,12547,601,2584,0,634,9023,1326,23391,13938,1488,104091,23058,199231,2530,8911,134033,4911,1629,2862,516,22317,61646,22046,388577,4800,1331,45905,11056,21444,6096,2014,3642,5102,4977,0,3244
D11P18T,1,1,58,PT,13,8,tip,1513,0,38208,41382,0,8904,10505,0,0,0,1423,0,106005,10227,0,0,0,0,0,0,2130,3105,10291,66383,3241,1854,10404,74601,156630,144307,2753,6315,14234,151297,11972,12568,740,2531,6943,470943,104659,2096941,0,6152,46683,0,3622,8658,3316,2533,4413,0,13870,23767,31666,70289,34147,17853,18048,41012,1039,2187,4714,15195,34546,0,0,0,2420,8227,0,1936,3690,28343,812822,5359,24097,0,41041,18073,255830,39121,1784,17536,2359,53345,28475,16229,2043144,11425,11634,23496,8854,23384,0,8081,3543,1634,3563,237472,1543886,18327,44608,19302,12088,31418,30037,201716,0,0,13156,14334,4509,5170,4679,12278,3786,7376,1792287,1126477,28906,76909,1074943,107462,5859,14986,8865,2278,1722,163498,15607,43585,4201,9360,40396,26865,9604,17496,0,133954,147901,254183,440444,656451,3536,2049,9788,0,0,0,0,4725,0,935208,3676,46296,83903,2571,253182,13631,3853,0,399,0,10183,1887,2977,1048,3940,1702,12514,2069,11383,1481,7399,14158,4422,0,2341,1961,14107,1631,10968,7935,48516,20467,131418,24726,0,5149,892,1135,0,2497,707,0,0,0,22828,15486,0,12351,433106,0,0,1594,0,9212,0,79025,0,2987,8154,1292,1945,2028,11031,11594,16289,0,4450,0,1324,5633,1962,11483,8381,2835,49545,20778,126663,2323,25227,476796,13402,3422,2998,0,2398,14846,11693,204162,6061,0,60424,9109,92219,27877,1205,1555,2520,2318,0,0
D11B14C,3,1,58,B73,11,4,center,1954,0,32779,34349,0,9193,10475,0,0,0,713,0,125601,7680,0,0,0,0,1252,2805,0,3119,15690,44336,3951,2935,13726,92183,70419,302405,2201,14311,12379,365738,6550,15924,2025,3182,23316,735667,68482,1630530,0,2530,30932,0,6411,13200,10209,7226,8075,0,15915,17934,110387,78297,32299,13253,16032,20509,0,2571,14664,490577,538163,0,0,936,10027,300719,935,0,5046,69703,956956,0,10910,0,64927,6383,155166,33330,1944,12652,13519,235035,19408,3884,1423053,7710,11768,21123,6761,15001,0,15076,1769,1644,3720,64382,1405644,16909,21048,8006,7145,59959,36625,174098,0,0,0,7973,4790,3459,3403,8845,656,6731,1556867,674538,33795,35592,317062,39572,3561,12016,0,2170,1791,64604,9930,17911,4927,5821,11678,4991,3226,1345,0,108833,113225,164786,219171,579054,0,0,2276,0,0,0,0,6424,6656,1293792,1349,87665,8268,3662,876463,20850,2151,357,0,0,7815,1624,6519,859,3916,1465,9923,0,10734,0,6725,11235,14032,1274,1499,3388,6262,2477,4453,13467,93653,34317,279981,22499,1196,5482,0,1956,0,5550,733,12278,2771,0,53177,24762,0,83560,667712,1283,338,4352,0,14737,864,81722,2953,1393,4145,0,0,2251,19203,2948,25330,0,4285,1544,717,10771,2084,16977,13735,0,79997,33204,272783,0,21389,394592,6192,2176,3856,0,12864,41742,25671,445984,7005,1856,80343,13193,58807,18763,2417,4454,5035,2881,0,0
D11P16T,3,1,58,PT,13,6,tip,984,982,60643,64003,1783,12305,14665,0,0,0,2625,0,178934,15360,0,0,0,0,0,0,0,1835,12325,85128,5699,0,4704,86962,320741,125576,2431,5395,15239,169659,11589,13686,2623,0,8944,806871,95403,2808931,0,6303,37932,3862,3636,17783,10276,5129,7280,0,19683,26978,130847,90243,41301,22282,25802,37158,772,2361,4165,14417,41410,327,0,658,2120,619,2044,2786,3841,26294,1031601,0,22227,0,0,25402,257118,10078,1636,21183,21538,43312,14360,4488,2185237,13287,10350,36753,7510,24860,0,32047,2781,2778,8195,107010,705531,28202,24685,13497,5919,19243,14433,52710,0,0,0,15562,6813,6069,4540,15975,5087,6127,2518418,540133,32119,81813,784349,104489,3447,13064,0,2021,1685,204250,19164,53814,0,15041,41016,39873,8980,10284,1350,111344,155218,144567,290998,565430,0,0,891,0,56980,0,614,4821,0,8646,2775,46467,108220,2452,126077,11722,4607,754,0,0,14668,2535,13344,1987,6381,2535,5531,0,17991,2381,12136,19463,8741,0,2200,2265,24417,1773,10047,5942,36183,15511,103214,27182,0,2687,0,1392,0,1324,0,5938,0,0,35706,9584,1514,68901,522327,0,0,1703,0,12641,0,95522,3998,0,9915,1071,2433,2824,13007,7599,13124,0,5326,0,2501,10289,2433,10288,5745,2283,36251,15417,103568,0,27639,515848,10410,2817,4494,0,2179,12847,12826,231148,3880,0,66538,5877,158088,35525,1340,1459,2757,2156,0,0
D11P16B,3,1,58,PT,13,6,base,571,0,25199,25720,0,12212,3959,0,0,0,2925,0,125937,13581,0,1550,0,0,0,0,3589,2520,8608,55965,3884,0,10303,70408,107180,84610,0,3172,11865,113927,6722,8425,1080,0,7513,391528,55375,3583348,0,4682,23660,1088,2457,12117,5035,2393,5438,0,13564,9626,89997,48138,25328,10517,14609,26107,368,2019,3938,13951,25224,0,0,0,1662,1805,0,2889,4161,21313,541335,0,13126,0,28961,4458,152449,6649,773,14532,18828,26680,39601,2565,3385463,5181,7734,10021,10251,17993,0,20023,2675,2823,4132,129240,897470,36258,40762,8126,11859,23969,16811,96966,0,0,10432,22933,4258,4495,2997,11149,3841,7437,3055811,856690,52590,133116,948519,78065,3492,13315,10901,1317,0,187212,100940,106677,12663,15453,44779,27848,5010,41127,0,66339,100522,83823,262479,420318,0,0,675,0,29106,0,0,0,0,684476,0,34873,35371,1969,105019,8631,4551,0,719,0,14599,3795,13872,0,4206,2995,17391,4780,22278,3538,12079,19593,10731,1772,0,1523,17578,1793,8826,2050,21250,12617,55539,20733,0,6672,953,1180,0,1344,787,4524,0,0,14991,4695,0,35697,192041,974,0,0,0,1217,0,47716,3965,2648,5557,1199,3176,4275,14755,5814,8405,1460,5943,0,1400,10338,1996,8826,5135,2142,18487,12638,51802,0,21250,236301,3245,5420,5220,0,2871,2364,12177,140819,1211,0,36344,3477,52563,7171,1232,1348,1759,1622,0,0
D11C28C,2,1,58,CML312,10,8,center,8592,0,19402,20664,0,6697,9062,0,0,443,3011,0,126927,6918,0,959,0,842,0,2675,761,4095,13070,38725,6200,0,15541,69856,25006,239731,3862,6142,30506,292052,12522,16391,839,2013,18505,583932,57416,1622266,758,4963,43221,1226,2908,8865,3494,5190,1676,0,16469,15744,79066,52378,32879,12701,12920,29709,781,1362,9414,257714,117783,0,0,0,11856,283668,2507,0,7456,102263,1170768,8056,32809,20440,77660,18533,282973,37374,0,15881,12951,90129,34684,16514,1465050,7597,25755,26731,10147,52862,0,20127,9573,15891,2974,492392,894662,117597,104754,27456,32242,258762,143701,443650,9366,21407,19540,11018,8400,11142,2710,12260,1661,9407,1617612,1379296,13686,80088,708079,90920,27973,47835,4620,2940,0,141095,14974,30914,2701,6500,26467,7265,5238,2819,0,89212,205863,105135,477557,1110123,3020,248,732,0,0,0,0,4948,4856,1196639,6372,62750,38313,1089,429270,13954,2050,392,0,0,5817,714,1158,0,2396,1336,8821,967,6093,525,4235,10917,18846,921,0,1786,12384,2313,13965,8057,52429,16476,107123,8163,0,6869,1198,1717,0,2586,0,4399,0,0,30417,3903,0,17844,92807,1128,0,1280,0,7054,0,74707,1221,2467,5666,760,3113,0,20932,1781,18155,1058,3749,0,764,12265,1002,14472,8455,0,41910,15156,105460,0,6806,108585,2106,2156,4845,0,9077,16499,7137,129294,991,0,14507,1315,8367,0,1780,3425,2638,2862,0,4024
D11P18C,1,1,58,PT,13,8,center,1363,0,50826,53354,0,9645,11806,0,0,0,10179,0,155874,8912,0,0,0,1930,0,0,6365,5464,27191,126102,9901,0,23079,144851,226012,151815,675,7076,20805,223555,16679,20878,1038,2498,10184,553400,110298,1974231,0,7960,49049,1870,2771,17359,5779,0,5254,0,26994,25553,66026,94518,57216,24150,36609,30610,0,1601,6865,32523,49955,0,0,0,809,12884,0,2470,3904,42503,1372192,12164,26721,21162,68619,7849,295388,47256,2628,21268,17332,92337,42279,20624,1892252,8138,9826,30001,5936,32318,0,30661,3533,3953,4935,198049,1329446,23170,25435,16428,8631,27228,21449,115936,0,0,0,8235,4764,2354,4706,16800,7446,7408,1909176,722522,25125,37853,438759,100262,4541,15194,4204,1819,1786,160568,12694,88625,0,7926,35910,17659,11360,8129,0,157315,193289,202413,477693,783195,2759,1437,7069,0,0,0,0,4564,4215,1271399,1078,51926,7825,253,253697,16139,3471,0,621,0,11375,2125,10583,0,4705,2224,14373,2675,13985,1756,8687,14905,10879,0,2972,2190,17012,2570,14146,7411,48114,20642,105618,15199,0,8844,656,1282,0,2386,0,0,0,0,43791,8063,0,36941,221871,238,0,1158,0,6671,0,109444,3679,0,11721,1090,2317,3146,15979,10085,15604,1297,5676,0,1610,8875,1374,13904,7989,1904,46574,13761,102057,1872,14574,238504,2577,3489,3676,548,7976,14762,9543,157879,2890,0,37263,0,39457,9767,1330,1534,2075,2327,0,0
D11B112B,3,1,58,B73,11,12,base,26370,0,3144,3312,0,13554,16854,0,0,0,6139,0,164043,9249,0,0,0,0,4231,6921,12557,20191,65698,22047,2279,0,83141,126474,9548,147612,3373,5895,92143,608180,6041,1777,0,21102,40941,191904,154640,1948109,4583,4039,8448,2107,3133,9481,1331,3873,10129,0,22745,35275,148318,129490,42050,15436,16654,83833,1914,4453,164470,712806,46526,0,0,558,63676,231071,6763,0,21326,119879,420116,2294,13476,5926,43168,43852,573788,3981,1263,8562,8491,26325,21129,6025,1641211,6289,0,34164,5451,7519,4075,176562,19573,19154,5700,935449,775930,129529,0,5407,53094,262260,176537,889335,12414,44692,0,5750,7331,27529,6508,1581,1170,31969,1070474,595000,7216,25836,38982,16846,27543,7591,3165,4488,0,236972,22880,55214,2804,6947,5945,0,2549,1407,0,102325,14071,198748,407309,92276,5905,0,3609,0,15591,0,0,9601,17420,689794,0,23521,54751,0,338414,30846,1918,488,0,0,4279,1576,7227,0,2173,1676,11800,2465,12746,0,7884,11201,23125,1378,2904,2231,11429,9930,62164,38748,235371,2507,103611,1861,0,14573,0,8510,0,22749,0,90695,1036,713,542027,6441,0,20484,93551,0,0,460,0,486,0,31448,2378,1751,1186,830,6761,2742,40248,669,9475,923,4662,0,1547,17300,2112,60863,39971,3794,219326,17281,99727,0,3808,20841,735,2865,4711,0,50391,170838,63215,507538,5553,0,20588,3400,4209,0,4625,5833,3637,2879,0,6318
D11B26T,3,1,58,B73,10,6,tip,10711,0,32195,34237,0,7017,8958,0,0,0,873,0,132725,7200,0,1192,0,0,0,3646,2973,2338,17490,34649,4591,0,21753,85427,57928,202131,2712,11272,9440,257311,5941,10594,1507,0,19674,478048,66732,1761327,620,3044,25878,1571,3951,11426,5452,4265,6431,0,14974,10149,74609,58064,31595,13242,14794,27608,1286,5737,42651,1288497,740691,0,0,1904,21991,772357,290,0,3224,51064,416257,2513,10778,0,28252,4011,196215,25025,1938,12317,12935,109071,15859,9108,1580537,4286,8224,22869,7086,12765,2484,13599,2395,1365,2421,84836,1430992,63136,5553,8817,9789,94329,64681,133877,0,0,6622,7466,5704,2653,2707,7549,872,8479,1544517,872066,28418,30909,261340,37667,3096,12436,0,2164,0,26825,4201,53682,0,1054,399,0,0,0,0,117876,91527,289982,237545,410437,2692,2048,3222,0,0,0,0,6262,5196,1038244,3266,58985,27493,758,585036,36481,3143,416,389,0,8545,1342,7022,0,4248,1782,11235,1717,11881,1436,7192,10907,23019,1940,1298,2351,12019,3183,21019,19805,142823,40635,303467,8313,0,6159,0,1183,0,8269,0,14081,1511,552,141858,18651,0,66300,441449,1420,0,2850,0,7024,0,78995,1975,2478,5588,567,0,2104,25306,2670,17539,788,2885,0,730,13439,2322,15680,18290,2267,119536,41279,304950,2186,15239,262310,4528,3096,4663,0,20918,53525,27355,525312,4235,1259,63870,5756,27633,5077,2897,6319,4903,4194,0,15785
