"samples","CAR(12:1)","CE(20:3)","CE(20:4)","DG(34:1)","DG(36:2)","DG(36:3)","DG(36:4)","DG(34:2)","DG(34:3)","DG(34:4)","DG(36:5)","DG(36:6)","DGDG(32:0)","DGDG(32:1)","DGDG(34:0)","DGDG(34:1)","DGDG(34:2)","DGDG(34:4)","DGDG(34:5)","DGDG(36:1)","DGDG(36:2)","DGDG(36:3)","DGDG(36:4)","DGDG(36:6)","DGDG(38:2)","DGDG(38:5)","DGDG(38:6)","DGDG(40:2)","DGDG(42:2)","DGDG(42:3)","DGDG(44:2)","GlcCER(40:1)","GlcCER(34:3)","GlcCER(36:3)","GlcCER(38:3)","GlcCER(40:3)","GlcCER(42:3)","LPC(16:0)","LPC(18:0)","LPC(18:1)","LPC(18:2)","LPC(18:3)","LPC(20:1)","LPC(16:1)","LPE(18:2)","LPE(18:3)","MGDG(34:1)","MGDG(34:2)","MGDG(34:3)","MGDG(34:4)","MGDG(34:6)","MGDG(36:3)","MGDG(36:4)","MGDG(36:6)","MGDG(36:7)","MGDG(38:1)","MGDG(38:5)","MGDG(38:6)","PC(30:0)","PC(32:0)","PC(32:1)","PC(32:2)","PC(34:0)","PC(34:1)","PC(34:2)","PC(34:4)","PC(36:1)","PC(36:2)","PC(36:3)","PC(36:4)","PC(36:5)","PC(38:2)","PC(38:3)","PC(38:4)","PC(38:5)","PC(40:6)","PC(34:3)","PC(36:6)","PC(42:3)","PC(44:2)","PE(34:2)","PE(34:1)","PE(34:4)","PE(36:2)","PE(36:3)","PE(36:5)","PE(36:6)","PE(38:7)","PE(42:3)","PE(44:2)","PG(32:0)","PG(32:1)","PG(34:2)","PG(34:3)","PG(34:4)","PG(34:5)","PG(36:6)","PG(36:7)","PS(42:2)","SQDG(32:1)","SQDG(34:1)","SQDG(34:3)","SQDG(34:4)","SQDG(36:3)","SQDG(36:5)","SQDG(38:6)","SQDG(32:0)","SQDG(36:4)","TG(42:0)","TG(44:1)","TG(46:0)","TG(46:1)","TG(46:2)","TG(48:0)","TG(48:1)","TG(48:2)","TG(50:0)","TG(50:2)","TG(50:4)","TG(50:5)","TG(52:0)","TG(52:3)","TG(52:4)","TG(52:5)","TG(52:6)","TG(54:3)","TG(54:4)","TG(54:5)","TG(54:6)","TG(54:8)","TG(56:3)","TG(56:5)","TG(56:6)","TG(56:7)","TG(58:6)","TG(46:3)","TG(48:3)","TG(48:5)","TG(48:6)","TG(40:1)","TG(40:2)","TG(50:3)","TG(52:1)","TG(52:2)","TG(54:1)","TG(54:2)","TG(54:7)","TG(54:9)","TG(56:4)","TG(56:8)","TG(58:15)"
"D11P26B",0,13114,0,1188,7274,7190,14900,24734,33280,2886,85721,41397,40985,0,5605,15532,228688,11403,722,9671,77886,1070522,78613,1484433,5373,6942,23347,2107,19360,6747,23795,0,10888,67923,57366,35134,"9849",33160,8374,9135,91386,49966,0,0,4450,2893,3707,49904,418872,13504,0,47240,466801,1155316,20817,13734,5370,10332,0,14058,1817,16857,4346,373529,1315912,15866,116623,1738029,441992,30612,1585448,21886,15184,13305,34462,2273,1046999,1220631,11059,2683,823717,120159,66082,21499,134138,193730,65694,6439,27119,1983,106971,91576,284825,384406,554387,1428,12234,3320,32643,2802,3150,296713,930,76803,111411,417,65314,13508,2257,1051,8823,5668,3397,7094,10793,10265,12168,5613,2399,2003,14137,23478,112666,261411,182559,4949,26283,89812,98391,604258,1620,5560,9180,2935,6901,80971,3534,4038,5786,1383,23211,16304,4573,13921,2424,4958,398979,46874,2977,0,0
"D11P210B",4909,26020,0,0,5065,3878,36910,32640,37210,5794,90011,56264,138874,3360,12916,43077,389106,26169,1044,0,44570,809728,134005,1426729,1382,20399,65858,5526,20174,4655,4374,0,15762,73500,85358,59640,"42621",36395,1829,23577,580654,119445,0,0,950,1925,11915,103042,682446,31492,23536,59575,801997,1083604,13578,16111,25999,43021,0,36963,9896,15262,2475,522560,892306,20772,46442,916788,480172,35110,1024654,4373,5184,55135,68828,2094,1337541,436916,5067,6516,242587,24631,47431,1595,5860,30716,4297,6905,2742,1537,122161,149276,355188,449451,1069374,415,5960,4759,50937,6544,6798,1107677,2917,78548,148087,4951,382527,38982,1562,0,4870,4380,3047,5596,4365,4362,11061,4588,709,4673,13159,44437,250635,212434,88030,12772,42730,186603,267381,229308,1023,7783,7670,6127,7773,43859,2791,15291,13260,435,24754,11320,2430,13227,1433,3120,436548,15071,3835,0,940
"D11P28T",0,26057,0,0,6348,9474,17309,24498,50520,3509,93747,59344,72687,0,7370,14488,239570,18545,825,6862,55402,1091378,105877,1613493,3541,11188,43413,1278,15249,7630,14117,3182,10099,73291,57215,37696,"14030",37135,5516,15282,375853,138426,0,0,684,531,4232,57559,479088,18640,0,119267,534012,1594087,5500,13909,8960,15271,0,9470,2059,12626,3621,376125,969523,23019,72776,1123927,400897,29691,1344913,15227,12078,16131,43912,4020,1211380,1301405,11945,2355,478538,71329,56310,10041,48005,131154,49222,3252,13396,0,139494,103700,423879,509954,731263,1642,15420,2937,0,4731,3469,752636,2537,120645,119292,911,210830,23491,2440,0,6269,4577,3077,5845,7411,5340,12465,4650,1815,1716,13955,21730,90025,216883,194168,3797,15200,48964,51016,201379,1109,4519,8117,2104,13855,107414,1417,2368,4379,875,18060,16843,3010,9903,1682,3359,152273,27157,2174,0,0
"D11P112B",4152,18747,0,2011,5329,8457,50163,74718,40568,9151,175051,36053,186796,576,7282,70165,430258,26162,5074,10681,20072,547626,148703,1549757,3990,12077,60174,4595,14624,711,5802,0,25325,133781,126555,78687,"28354",55922,3155,8441,56600,8249,0,630,2519,0,7357,109398,944076,26067,25517,88574,731555,1643480,12354,27749,18135,59192,0,91537,10532,10464,4649,557057,1393191,17649,32764,326239,486289,26359,891836,6919,19999,37355,41055,7970,1261550,253071,8010,8073,350468,30994,91322,2962,10623,32550,4556,8141,4536,1337,127846,101890,197867,633669,1015424,376,6553,3409,82127,7360,7509,992194,680,50840,160928,270,450760,43824,1490,0,5369,2328,1751,6576,5272,3715,10929,6055,3024,1819,12172,31058,237014,150090,64886,5754,21806,111193,205412,187575,0,3292,4407,3693,2182,37247,1494,3083,1206,750,17466,8920,2571,9137,1160,2141,406083,12105,2015,0,1340
"D11P212B",7646,17539,0,0,6952,3264,49456,32788,30768,3593,68709,62318,112681,3587,10986,46675,304014,21765,591,0,44312,761152,139167,1366589,1180,16643,59226,910,11434,3016,3139,0,14410,63762,63999,45411,"45814",40222,5198,27590,828172,103958,0,845,9361,2053,11363,103131,793558,34995,26802,116251,955748,1337277,10950,17206,34191,58719,707,35331,12154,15394,3377,597386,1041555,17730,65221,1309261,325588,26918,987144,6180,54365,70676,65015,1488,1333458,276550,3253,4777,429759,43904,40053,929,9477,52633,5145,10803,5216,694,127828,97327,323917,632895,942251,1983,9166,5428,58552,5190,7114,1019522,1061,74683,74739,4302,272940,34646,1653,0,3925,3431,3037,7598,5013,3965,7498,7809,4274,6147,5485,37904,167556,172802,37120,9439,26584,112304,167876,82397,527,4521,3594,3086,1503,40134,3034,15456,9998,0,15723,7121,2223,6914,1226,2571,234710,4915,2531,0,0
"D11P212C",11557,34760,0,2065,2865,2648,28146,21172,44962,3577,68694,29002,148865,645,27363,24714,251913,30231,4073,0,51256,815007,98844,985693,1399,12973,56281,1750,15514,4535,5244,0,14814,46005,64446,46338,"38590",58949,5276,115199,1535519,945415,0,3135,12986,5790,5790,71554,539359,24101,17350,74987,395966,2022123,12140,20142,11965,25271,0,44538,8028,13889,3506,546390,307177,24254,41877,815353,378882,32231,1040819,6215,8001,28488,52413,273,924126,766110,3304,3247,129591,15084,34073,1244,4310,30921,6485,5614,991,0,133000,151231,300028,353904,660953,3574,7811,4593,26901,4617,5340,882349,3262,130320,130087,5139,442783,28557,1658,0,4496,5016,1784,1827,6704,4823,7065,13515,3297,4097,8452,54968,242647,452592,157849,7858,24539,130245,232966,456276,617,3642,6153,4977,7899,63550,2680,11388,14010,375,25581,14571,2584,9657,1629,2862,415423,27540,2014,0,3244
"D11P18T",1513,79590,0,0,0,3984,13509,10291,66383,3241,74601,156630,144307,2753,6315,14234,151297,24540,740,2531,6943,470943,104659,2096941,0,6152,46683,0,12280,3316,6946,0,13870,55433,70289,52000,"18048",41012,2187,7134,23422,34546,0,0,0,1936,3690,28343,812822,29456,0,59114,255830,2213418,11634,23496,8854,23384,0,8081,3543,1634,3563,237472,1614197,19302,12088,61455,201716,13156,1169717,4509,5170,10538,27264,3786,1792287,1259314,8865,2278,163498,15607,43585,4201,9360,40396,26865,9604,17496,0,133954,147901,254183,440444,659987,2049,9788,0,0,4725,0,935208,3676,46296,83903,2571,253182,13631,3853,0,10183,4864,4988,14216,13452,8880,14158,4422,2341,1961,14107,26044,117212,301649,540151,5149,4425,32896,38314,514990,0,1555,4114,2318,9212,79025,0,2987,8154,1292,16949,27883,4450,6957,3422,2998,221916,120096,1205,0,0
"D11P16T",984,125628,1783,0,0,0,6539,12325,85128,5699,86962,320741,125576,2431,5395,15239,169659,25275,2623,0,8944,806871,95403,2808931,0,6303,37932,3862,21419,10276,12409,0,19683,157825,90243,63583,"25802",37158,2361,6285,15036,41410,327,658,2044,2786,3841,26294,1031601,22227,0,25402,257118,2315119,10350,36753,7510,24860,0,32047,2781,2778,8195,107010,764545,13497,5919,33676,52710,0,587814,6813,6069,7987,29039,5087,2518418,970651,0,2021,204250,19164,53814,0,15041,41016,39873,8980,10284,1350,111344,155218,144567,290998,565430,0,891,0,56980,4821,0,8646,2775,46467,108220,2452,126077,11722,4607,0,14668,15879,8368,8066,17991,14517,19463,8741,2200,2265,24417,24541,86404,237710,581079,2687,3571,27018,52742,663643,0,1459,4460,2156,12641,95522,3998,0,9915,1071,20697,20723,5326,12790,2817,4494,247854,193613,1340,0,0
"D11P16B",571,50919,0,0,0,3589,12823,8608,55965,3884,70408,107180,84610,0,3172,11865,113927,15147,1080,0,7513,391528,55375,3583348,0,4682,23660,1088,14574,5035,7831,0,13564,99623,48138,35845,"14609",26107,2019,5600,15756,25224,0,0,0,2889,4161,21313,541335,13126,0,33419,152449,3500272,7734,10021,10251,17993,0,20023,2675,2823,4132,129240,981927,8126,11859,40780,96966,10432,932213,4258,4495,6489,24464,3841,3055811,1159700,10901,1317,187212,100940,106677,12663,15453,44779,27848,5010,41127,0,66339,100522,83823,262479,420318,0,675,0,29106,0,0,684476,0,34873,35371,1969,105019,8631,4551,0,14599,17667,4206,20386,27058,15617,19593,10731,1772,1523,17578,21441,49064,132596,281529,6672,5004,6859,24210,267559,974,1348,1759,1622,1217,47716,3965,2648,5557,1199,25382,15679,5943,11738,5420,5220,154207,59734,1232,0,0
"D11P18C",1363,104180,0,1930,0,6365,28543,27191,126102,9901,144851,226012,151815,675,7076,20805,223555,37557,1038,2498,10184,553400,110298,1974231,0,7960,49049,1870,20130,5779,5254,0,26994,91579,94518,81366,"36609",30610,1601,7674,45407,49955,0,0,0,2470,3904,42503,1372192,38885,21162,76468,295388,2144114,9826,30001,5936,32318,0,30661,3533,3953,4935,198049,1385459,16428,8631,48677,115936,0,755882,4764,2354,9247,31994,7446,1909176,576874,4204,1819,160568,12694,88625,0,7926,35910,17659,11360,8129,0,157315,193289,202413,477693,785954,1437,7069,0,0,4564,4215,1271399,1078,51926,7825,253,253697,16139,3471,0,11375,12708,4705,16597,16660,10443,14905,10879,2972,2190,17012,31994,111992,243950,270854,8844,10462,31910,51854,296075,238,1534,3233,2327,6671,109444,3679,0,11721,1090,23759,26986,5676,10485,3489,3676,170312,49224,1330,0,0
"D11P210C",1547,41672,0,0,3338,2232,22738,19222,46305,4916,83275,82705,94604,403,9391,15467,221506,28339,532,1471,23187,764935,94580,1136685,1479,12337,54936,1275,14640,3639,5781,0,11849,49519,50723,39622,"33410",52831,5543,116954,1737736,1136772,0,3895,16259,8471,1503,38393,397648,14293,0,56804,292300,2268358,13340,17001,9480,19802,0,21363,5460,11376,2927,391028,680473,23562,28864,359648,298302,28494,1174518,7764,7150,16292,40183,843,1011501,767070,2333,1622,150668,21234,30182,1716,4807,29724,8056,4567,1635,0,140873,152853,343790,363261,678786,580,8664,4124,27733,3751,4265,797853,7126,96075,8799,4919,310264,25772,2371,0,7893,9809,6037,10886,13335,9364,8683,15266,3360,3790,7377,42118,188388,458262,203606,5333,16874,86564,156229,609361,0,2829,4787,4220,4798,70215,2470,9323,10731,717,27600,17975,3948,10662,2210,3546,403692,43310,1568,0,650
"D11P110T",0,100269,0,0,0,0,19573,19646,100813,5332,129998,400022,167316,3447,10459,16203,201605,32268,657,0,11473,798128,122928,2077194,0,7639,50650,2303,7460,4912,6403,0,21501,168014,108844,75828,"43851",57415,1675,9679,62490,90810,0,1052,137,208,3072,31676,869752,34002,21855,53840,219545,1895607,10426,35569,6431,26701,0,22235,3345,2992,4371,111277,1137350,19857,7291,48228,138638,0,570763,5421,5263,9842,29782,1007,2016810,725575,5032,1857,181890,17174,65136,0,10268,41883,24731,18168,11615,0,142445,162791,195358,386692,751457,0,690,0,110009,6989,4959,972845,354,55425,6311,69,364447,20000,4308,0,16266,19658,10371,19963,27566,19413,14122,12936,2152,1581,15336,27277,93148,237233,319788,7325,5438,28497,41027,759451,1173,1521,3899,2051,9195,77497,5133,0,3866,1387,29563,24982,6683,10114,4402,5081,245228,192531,1416,0,1768
"D11P112C",6620,36445,857,1254,2235,1400,33738,21666,61005,5350,92881,38553,167485,4066,11562,35482,323935,31268,5942,2500,19419,697754,128922,1503454,1600,11220,52354,969,14252,2424,3887,0,18523,99440,81983,55132,"20985",28661,1481,9285,60632,25984,456,0,0,0,2412,82640,828393,18369,30507,67363,456876,1513220,19597,22619,14599,43227,0,87998,9209,9184,3422,546584,1417169,22019,27124,202868,243114,24721,1031054,4949,5375,16959,42895,775,1501446,630076,4874,3243,245522,40104,60987,3241,7719,44171,9831,11986,5715,736,123629,152993,221310,480707,1054660,2804,5837,3333,0,5369,1301,1112905,1937,68374,178755,403,427369,45122,1916,0,4938,1737,1779,8815,6165,3748,7493,8099,3412,1498,7411,40458,185653,401436,222016,3993,12450,83156,159445,668372,0,1581,2290,3185,530,45355,1294,2059,2575,0,12139,10525,2034,4615,1245,1240,547740,57742,903,0,1928
"D11P110B",3310,40338,0,0,2475,2639,39559,22552,57310,6177,127465,50223,152754,4619,6840,33311,268513,22975,409,3800,12135,499298,96871,1707135,1371,7715,42718,0,12461,2274,3773,0,22747,106818,67909,63609,"19461",29510,1150,7125,55418,16223,0,0,1264,0,4508,66198,955544,50686,24747,66148,404379,1763832,16310,21899,11219,41339,0,76268,9478,7472,3423,501225,1639400,18344,25123,169208,365950,26634,1185020,5236,7916,18955,39596,3902,1681318,484092,4246,2696,304118,26626,55649,485,9121,37744,8468,10147,7320,736,100813,145993,174317,380184,966916,2369,1099,2571,0,6705,4727,907602,372,38775,125051,762,322887,24259,2192,0,5939,2292,1875,8656,7095,4335,7403,11761,3306,2016,7045,41351,202470,375804,171899,3286,14407,83756,164796,527248,0,1841,1660,3751,892,48015,1216,2602,4415,754,16079,10694,1780,6496,1962,1614,563788,39270,1146,349,2511
"D12P14A",439,23118,0,0,0,3711,10324,20678,29213,4844,55884,79418,22315,0,1413,24666,450884,28077,506,13007,47446,824427,104964,1480421,0,9818,59342,7077,59430,5662,13742,0,16912,133014,94195,82048,"19702",34202,2166,3988,30096,21886,0,0,637,0,7026,99178,877484,27622,0,59433,688844,1409813,31372,18275,15062,44805,0,14300,3809,6776,0,411787,1168461,16077,21649,191590,292281,31219,1000508,2387,5679,6744,38854,0,1319518,541777,13770,5457,236911,25951,24432,4293,14799,38129,10814,10655,5597,7724,89629,228306,120910,274422,1103682,2112,5268,5054,0,1739,7373,1073975,6206,118833,11945,5812,80487,36237,2956,0,9644,10086,8655,8772,19712,10823,4506,8951,3079,896,3266,91742,199619,406429,497996,3766,24756,60122,213629,816047,1776,10062,9685,6947,7037,46973,10730,0,3194,41540,95863,76957,16141,71435,1189,8614,639950,285388,1550,4697,1703
