"samples","CAR(12:1)","CE(20:3)","CE(20:4)","DG(34:1)","DG(36:2)","DG(36:3)","DG(36:4)","DG(34:2)","DG(34:3)","DG(34:4)","DG(36:5)","DG(36:6)","DGDG(32:0)","DGDG(32:1)","DGDG(34:0)","DGDG(34:1)","DGDG(34:2)","DGDG(34:4)","DGDG(34:5)","DGDG(36:1)","DGDG(36:2)","DGDG(36:3)","DGDG(36:4)","DGDG(36:6)","DGDG(38:2)","DGDG(38:5)","DGDG(38:6)","DGDG(40:2)","DGDG(42:2)","DGDG(42:3)","DGDG(44:2)","GlcCER(40:1)","GlcCER(34:3)","GlcCER(36:3)","GlcCER(38:3)","GlcCER(40:3)","GlcCER(42:3)","LPC(16:0)","LPC(18:0)","LPC(18:1)","LPC(18:2)","LPC(18:3)","LPC(20:1)","LPC(16:1)","LPE(18:2)","LPE(18:3)","MGDG(34:1)","MGDG(34:2)","MGDG(34:3)","MGDG(34:4)","MGDG(34:6)","MGDG(36:3)","MGDG(36:4)","MGDG(36:6)","MGDG(36:7)","MGDG(38:1)","MGDG(38:5)","MGDG(38:6)","PC(30:0)","PC(32:0)","PC(32:1)","PC(32:2)","PC(34:0)","PC(34:1)","PC(34:2)","PC(34:4)","PC(36:1)","PC(36:2)","PC(36:3)","PC(36:4)","PC(36:5)","PC(38:2)","PC(38:3)","PC(38:4)","PC(38:5)","PC(40:6)","PC(34:3)","PC(36:6)","PC(42:3)","PC(44:2)","PE(34:2)","PE(34:1)","PE(34:4)","PE(36:2)","PE(36:3)","PE(36:5)","PE(36:6)","PE(38:7)","PE(42:3)","PE(44:2)","PG(32:0)","PG(32:1)","PG(34:2)","PG(34:3)","PG(34:4)","PG(34:5)","PG(36:6)","PG(36:7)","PS(42:2)","SQDG(32:1)","SQDG(34:1)","SQDG(34:3)","SQDG(34:4)","SQDG(36:3)","SQDG(36:5)","SQDG(38:6)","SQDG(32:0)","SQDG(36:4)","TG(42:0)","TG(44:1)","TG(46:0)","TG(46:1)","TG(46:2)","TG(48:0)","TG(48:1)","TG(48:2)","TG(50:0)","TG(50:2)","TG(50:4)","TG(50:5)","TG(52:0)","TG(52:3)","TG(52:4)","TG(52:5)","TG(52:6)","TG(54:3)","TG(54:4)","TG(54:5)","TG(54:6)","TG(54:8)","TG(56:3)","TG(56:5)","TG(56:6)","TG(56:7)","TG(58:6)","TG(46:3)","TG(48:3)","TG(48:5)","TG(48:6)","TG(40:1)","TG(40:2)","TG(50:3)","TG(52:1)","TG(52:2)","TG(54:1)","TG(54:2)","TG(54:7)","TG(54:9)","TG(56:4)","TG(56:8)","TG(58:15)"
"D11P112T",2158,39945,7668,0,0,4025,27676,42174,71432,9272,118446,157872,166740,4824,8128,23087,257012,31948,4963,7616,15221,863586,124219,1448523,0,9835,59504,395,19213,2563,2506,0,24888,129552,126544,81709,"23993",42671,1453,14880,73442,34312,0,941,0,0,4499,49453,894812,32856,26237,28835,351296,1547507,21958,28987,12184,42273,0,36512,1095,5515,2412,380697,1301344,19869,12814,110038,251102,43721,942553,2418,4998,7150,39864,4086,1429655,462823,14108,6271,154330,19504,64318,2140,7447,21754,6553,2057,1549,2772,138705,191865,239850,527047,877875,84,6511,0,0,7015,6352,924154,715,72115,250741,1103,486965,29523,0,0,1875,947,1524,2198,2399,758,0,2312,2519,0,422,36064,164630,326161,197023,724,11067,42729,225171,921160,277,1646,7587,900,15177,59239,678,0,0,7207,16248,24705,1800,10292,0,940,691128,388453,663,0,3343
"D11P110C",2471,94464,0,0,0,6526,17726,31240,75039,6119,97005,75153,158797,3769,6413,5341,247925,42355,5178,6100,13360,811681,121680,1568427,807,10185,60443,299,25335,3149,4342,0,25811,85154,123000,95226,"27363",30194,1001,6338,82638,58122,0,0,1323,0,2970,45670,1101249,19619,31296,20799,286086,1530500,33232,24759,12385,46731,0,43277,6710,6909,2731,356093,1567177,24940,15376,93888,226925,33611,1409888,1811,3259,7810,43311,2762,1488737,933447,20908,7448,227587,21604,66416,3219,9940,52824,20840,9074,8495,4997,150843,227146,211590,506908,1081404,2671,7689,0,0,5302,4387,1129421,5066,69943,306212,1272,382650,26052,0,0,6559,4351,2992,6030,5857,3497,5851,2888,0,916,5487,17260,81968,149186,320351,5024,6009,15248,46686,260603,0,1629,2740,987,19059,73630,1471,0,6074,1302,19786,18954,3094,12127,744,1833,172372,22515,788,735,2528
"D11P26T",1708,21836,0,0,5097,13321,12580,21833,47105,3329,77444,78698,50035,0,3099,5277,258838,14758,2446,12215,42075,1116942,97782,1681191,4886,6582,27941,2182,24321,7636,15528,0,13933,98784,73746,47462,"s",31872,6627,13776,150471,95438,0,0,3893,946,3313,46951,503237,8137,0,43225,467579,1751575,25102,16739,6279,9942,0,11976,3051,14919,3220,288620,1444361,19246,73593,745155,279067,13653,1567721,11599,12219,12055,30881,2332,1455899,1504064,11362,2144,572339,69759,25125,15907,94756,134681,64805,4421,17175,1535,131997,96940,312309,409118,601570,1215,12411,2322,0,3736,3310,509578,1592,99735,141870,748,116796,15869,2110,0,7481,3862,4836,7039,13034,5382,9336,1597,1892,1638,15833,19851,46622,139590,196965,4024,9540,35556,40916,339204,890,3574,6037,1888,20307,100349,3179,0,2049,2598,18266,13701,2023,10096,1689,2996,194688,104285,1289,0,3312
"D11P26C",1204,28784,0,0,6126,16109,12898,19271,38419,2594,80942,53990,36930,0,2142,3361,215008,12321,2238,6944,95990,1000402,86827,1392694,3620,5955,22833,1565,24795,5458,18994,0,11456,62650,58268,41338,"10090",28443,8216,9108,118808,71803,0,0,743,3002,2319,47467,430077,11062,0,50633,489624,1583995,25371,15527,4810,9931,0,9888,3597,15078,4358,316549,1286294,20452,100942,1447503,399721,13899,1454562,14965,14725,12940,33871,2282,1182416,1360252,13643,2460,775743,85383,30759,19848,162638,218825,96097,3214,23750,3075,117040,92061,312800,401763,581624,903,13731,1067,0,3436,0,320179,0,84721,121881,2398,74484,14448,1374,0,4294,2127,3188,14490,6012,4080,12090,1301,2334,1837,18348,25071,72992,190733,200275,5072,16167,59064,74745,629261,0,4440,8155,2564,17710,126355,2044,0,4602,1645,16110,13480,3479,11235,1754,2588,309757,47484,1990,0,2707
"D11P16C",0,103502,0,1223,0,4672,9562,14019,107477,8273,97992,284042,118653,1850,4765,4215,204272,31811,1965,4795,8826,859142,98805,2287717,0,5570,39159,0,32300,9086,3615,0,24753,178694,134976,103613,"26973",28995,1544,4112,15715,42514,0,508,1422,0,2623,32286,1283492,25724,0,36669,272582,2078984,6820,31963,14714,24863,0,23516,0,2659,5497,91470,744560,13789,8110,21530,52052,0,525922,3992,5211,11313,29689,0,2185418,777819,19808,3045,165223,19713,58716,0,12311,33316,30947,6340,24396,0,102876,167027,109500,330096,690897,0,8204,2211,0,4396,0,890976,4359,54501,154199,0,132182,11680,2667,0,7474,6071,3606,14581,11420,4028,12048,1920,0,2285,25767,22247,79043,189332,667449,9432,10624,21508,47656,621051,0,1408,5574,2162,27074,135693,3018,0,13839,931,18621,27750,4264,13597,1801,3715,243027,122953,767,0,0
"D11P210T",9163,26628,0,0,3075,6412,24160,23069,38284,3885,70669,56736,90098,0,9545,4760,199410,28295,521,4025,25118,807289,101950,1363044,1681,16530,95823,3134,20997,4509,5324,0,10862,55455,30321,56928,"21771",33356,2083,22277,556010,151611,410,0,4689,2921,5538,53096,528653,27167,25544,47626,431432,1907214,31033,15302,15115,45497,0,25295,7008,16867,3190,595238,862775,35116,43566,524749,545532,59816,1425196,4380,19205,22336,78288,1768,1001489,1267396,14429,4478,403304,46680,21982,2552,12322,107421,28044,2629,5375,2739,172296,207984,429566,517186,1101092,2999,13383,6992,0,4517,3718,793735,5068,88664,6783,6850,305771,25985,830,0,5554,2691,3762,7965,8306,5168,9694,1877,2438,2600,15135,31688,135774,289088,206930,4236,14715,47111,96593,335108,1108,3275,6514,3108,14155,82991,2193,7088,9172,905,29575,20260,3125,10574,1429,2908,257080,36685,1903,0,0
"D11P212T",19206,35808,0,0,3192,5434,23181,14317,31800,5796,72606,38272,93381,2255,15895,5664,196918,24158,122,9470,30564,841684,98505,1142413,1213,12009,54818,2285,19670,1802,5447,2661,11574,63428,70121,50595,"23661",63875,7398,101562,1541926,782765,0,724,5519,0,3855,54780,418122,15966,13739,38150,399667,1928399,14352,16577,10780,22272,0,27175,6061,11393,2851,526865,1086053,20058,43037,478128,467850,35956,1260162,6345,15535,12433,47731,3909,859115,745426,10361,4793,59103,7895,17217,955,2528,12956,3497,1755,395,707,149056,144951,364326,405914,700521,4267,8814,3248,0,4800,4628,813355,3338,110634,205425,4048,315661,31042,2826,0,9246,10586,10703,12417,21224,7318,12249,3619,2081,2636,4024,53472,220179,422188,226991,6045,24242,60145,158437,349165,1497,3687,7558,3883,20420,76321,5027,6981,8713,3440,48806,27842,6162,19884,3164,5025,355344,54426,2469,0,9745
"D11P28B",6793,33558,0,0,5235,13550,26821,33307,47833,6766,107000,64686,78360,0,5489,4856,193695,22906,838,4402,34370,783429,83341,1211905,1704,15075,64590,672,14873,4044,6134,0,11646,70881,57564,40699,"12360",47689,9707,31849,865525,479347,0,0,13672,7825,3058,46518,575019,22077,19274,55493,440228,1141266,24355,12108,10835,27576,0,15363,1682,9986,2319,304267,925734,19352,50504,595246,384585,35126,1129461,7123,10133,19920,44783,1753,1117645,789140,9057,3548,427424,43847,39833,6143,39223,83554,27869,5161,7722,2230,137917,128777,319469,414941,735339,0,11367,3215,0,3972,3199,532430,661,65056,24124,3633,147431,18419,2485,0,8415,6102,5601,8290,13781,5248,10408,1735,3319,3960,16803,69359,309248,684669,453009,10255,47175,156947,282234,889242,4254,14005,26038,5747,4892,73372,3858,8884,12622,1974,48650,36526,6172,28982,2655,9469,615367,249887,6073,1836,2359
"D11P18B",1438,27608,0,2241,1939,5548,12268,32171,55320,4793,113174,61972,124908,2768,5783,20383,247207,26587,839,6942,4031,582349,91707,1986341,2042,7066,45352,2156,24883,3204,7024,0,21432,121929,100811,89175,"21113",28797,2005,3115,43599,27046,0,0,1723,0,4119,46554,1026545,17303,20409,28629,332375,1447909,3036,16788,11288,36995,1531,25452,1615,6461,2872,362025,1671484,17560,17614,77851,279709,32139,1442339,4232,5369,10958,40661,7042,1982441,871915,10752,6088,254045,26793,41856,3259,10414,48759,17646,11665,10477,0,114709,187444,202071,434899,951095,0,6386,2424,0,6806,4164,995383,1602,42331,86390,2409,205811,15602,1883,0,5841,2194,2024,8099,7223,3142,14112,3204,1294,1574,19063,25892,89332,201173,233655,4250,5195,36840,73193,402349,0,1904,2818,2907,8867,52509,1675,2030,2666,0,12683,15309,2563,4388,1337,1931,354453,123324,1077,849,0
"D11P28C",2346,36866,0,1628,8575,11086,21801,25647,39057,3346,100926,46698,57923,0,5065,4590,185500,19579,447,6872,60973,399433,93577,1401588,1997,14945,58673,2055,14443,4270,9548,0,10928,55599,57423,46467,"12727",30919,6292,17798,246546,88713,0,0,6684,3715,3819,55138,475677,18125,0,82467,669065,1753636,28855,12813,10936,23159,0,7601,1534,12151,3203,391453,1320254,17752,81840,1490545,509019,31768,1196642,12108,11951,19785,46384,1708,1104459,905848,10892,2631,620777,64688,36652,8555,57738,149603,40844,5872,13058,1565,147325,124248,391008,453074,758815,0,13102,961,0,6401,3573,585635,169,91945,19323,4592,151461,24290,1680,0,3786,2608,2883,10031,7077,1229,10103,1539,2304,3174,16951,43941,158197,358395,243869,6589,36973,105008,119246,443240,2506,9270,11136,4436,8465,112024,2129,5114,2354,1397,30764,22701,3282,19975,1790,6162,376583,44211,4169,634,0
