samples,CAR(12:1),CE(20:3),CE(20:4),DG(34:1),DG(36:2),DG(36:3),DG(36:4),DG(34:2),DG(34:3),DG(34:4),DG(36:5),DG(36:6),DGDG(32:0),DGDG(32:1),DGDG(34:0),DGDG(34:1),DGDG(34:2),DGDG(34:4),DGDG(34:5),DGDG(36:1),DGDG(36:2),DGDG(36:3),DGDG(36:4),DGDG(36:6),DGDG(38:2),DGDG(38:5),DGDG(38:6),DGDG(40:2),DGDG(42:2),DGDG(42:3),DGDG(44:2),GlcCER(40:1),GlcCER(34:3),GlcCER(36:3),GlcCER(38:3),GlcCER(40:3),GlcCER(42:3),LPC(16:0),LPC(18:0),LPC(18:1),LPC(18:2),LPC(18:3),LPC(20:1),LPC(16:1),LPE(18:2),LPE(18:3),MGDG(34:1),MGDG(34:2),MGDG(34:3),MGDG(34:4),MGDG(34:6),MGDG(36:3),MGDG(36:4),MGDG(36:6),MGDG(36:7),MGDG(38:1),MGDG(38:5),MGDG(38:6),PC(30:0),PC(32:0),PC(32:1),PC(32:2),PC(34:0),PC(34:1),PC(34:2),PC(34:4),PC(36:1),PC(36:2),PC(36:3),PC(36:4),PC(36:5),PC(38:2),PC(38:3),PC(38:4),PC(38:5),PC(40:6),PC(34:3),PC(36:6),PC(42:3),PC(44:2),PE(34:2),PE(34:1),PE(34:4),PE(36:2),PE(36:3),PE(36:5),PE(36:6),PE(38:7),PE(42:3),PE(44:2),PG(32:0),PG(32:1),PG(34:2),PG(34:3),PG(34:4),PG(34:5),PG(36:6),PG(36:7),PS(42:2),SQDG(32:1),SQDG(34:1),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:5),SQDG(38:6),SQDG(32:0),SQDG(36:4),TG(42:0),TG(44:1),TG(46:0),TG(46:1),TG(46:2),TG(48:0),TG(48:1),TG(48:2),TG(50:0),TG(50:2),TG(50:4),TG(50:5),TG(52:0),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:8),TG(56:3),TG(56:5),TG(56:6),TG(56:7),TG(58:6),TG(46:3),TG(48:3),TG(48:5),TG(48:6),TG(40:1),TG(40:2),TG(50:3),TG(52:1),TG(52:2),TG(54:1),TG(54:2),TG(54:7),TG(54:9),TG(56:4),TG(56:8),TG(58:15)
D11B212C,66537,14040,0,0,2956,4961,45799,44148,27486,5311,69321,17281,169649,2532,6729,9221,266834,15448,2878,11170,29930,502650,91260,1204012,2084,5045,25053,2090,26363,2723,5596,0,15871,106903,106302,66367,11986,40910,4897,74953,2114214,491937,0,2661,3846,0,3981,80025,647044,19815,13812,54437,409462,1073875,7883,24633,13450,24732,0,35588,5780,12439,2610,182912,758657,14923,19091,418695,302592,20532,1109284,5239,15535,43359,36691,1156,1109815,222806,10178,9420,42883,52040,19455,930,1364,4165,0,1224,316,0,103793,72718,203571,540120,687375,7980,5267,2378,0,5801,7095,954154,2580,74467,231480,373,591026,56110,539,0,1964,1671,2070,1803,2219,1858,1820,373,2286,2237,1494,37211,317357,225931,92092,3078,30779,158860,659446,603129,0,6028,10580,5625,4849,35625,1963,3133,2648,0,31525,8856,1719,14037,0,1598,1277312,59213,1985,1411,10924
D11B18T,13128,39079,0,0,2370,4041,33222,26008,39118,4370,90722,43222,233038,2955,10905,14793,330988,26457,2285,5898,12893,651246,88404,1327862,2472,8515,41929,2556,29581,6233,9836,0,15707,89993,52399,53389,13603,27143,4366,61250,2079116,1028841,0,1594,1047,0,3686,85151,598719,21926,17140,21758,299088,417855,13491,20919,11199,21559,0,8576,2346,8575,1917,157367,867180,16609,14039,222174,183253,7445,1300577,6316,6033,16250,34968,1269,1325726,546949,10934,6873,31268,26032,24180,2750,0,6127,0,0,319,0,130577,140062,362389,333870,750864,7331,1145,1550,0,5995,6990,1070988,4688,87076,336759,1038,734943,54980,1259,0,5392,3809,2525,5806,5542,3483,8388,887,2114,1610,9104,28070,216872,418947,235933,4072,14453,60639,181986,646536,696,3062,6047,3425,19243,84578,1369,2067,1377,0,22506,13474,2523,8743,924,2372,584313,89588,1964,0,12508
D11B24C,2754,44424,0,0,4257,12512,12951,25591,48745,3967,85308,99659,150356,1588,9379,7752,302424,17565,1918,4046,25200,703442,52944,1469872,2989,1053,25016,2239,27026,6705,11422,0,15847,127255,89637,53110,12313,26278,8625,11562,503772,420294,0,1133,8693,6606,1992,38275,582564,8388,0,69815,117022,1719514,9973,15933,2600,9866,0,11613,1365,3445,2849,41177,1185024,11944,8823,150094,45586,0,738829,4484,4961,8136,16829,1057,1259888,535720,0,1768,116645,15776,25486,4420,19213,19852,10485,5949,3423,902,59346,58913,118480,153643,395286,0,2669,0,9871,5142,3714,497117,5303,74943,137008,3498,427133,19867,3146,0,13775,10735,9055,12775,27545,6581,11778,2692,2879,3404,12648,48802,182990,666671,828142,5196,27721,96853,271567,1834587,1478,8387,20591,5709,21392,88652,5324,0,2811,3511,38525,34388,5666,15699,2728,5430,835934,1214903,2544,2786,0
D11B16T,5461,52602,0,0,4627,0,17101,28882,38947,4131,102470,64916,188342,793,8745,8769,273307,19039,1919,4021,10964,649556,66572,1623690,2261,5287,26615,3651,25052,6731,7143,0,17672,125552,102593,64673,20846,25234,5430,49718,1854044,934370,0,2839,228,0,2715,50484,519564,11876,0,44260,180794,1694137,9240,21703,6644,10909,4153,8105,1985,659,2205,69290,1553458,10883,8885,135356,64264,6608,967957,4016,3007,6325,19688,892,1566826,423784,8835,2211,42560,7188,40736,2689,4413,7400,0,1736,545,0,105136,78422,273914,270209,490123,1432,2807,1353,0,6889,4828,1109831,3540,86870,210606,3377,642041,36553,1634,0,7359,3535,4375,8602,11555,5816,11000,1944,1434,1812,14802,31857,136453,395624,311198,6573,15167,45177,99108,525865,0,3474,5835,2228,34426,96247,2457,0,2922,1540,25378,19613,4266,12702,1168,1930,382819,35367,1638,0,0
D11B28T,10278,36707,0,0,0,3766,17850,25176,28231,3573,74900,63004,198559,3099,9864,2302,333018,27238,3201,2564,22754,511185,98227,1342460,2297,10460,44548,937,28974,5414,9130,0,14252,78848,91980,64388,15370,37990,7771,80428,2240336,1146085,0,0,2340,0,4289,78876,529191,19522,17891,20611,271203,375775,10997,28497,14724,22273,2345,14418,2226,8748,2081,162445,856872,14581,12349,172131,199314,14866,1288892,4180,6998,19436,34272,3074,1089202,436725,5187,7126,18223,7689,30010,1414,1750,2809,0,0,167,522,148064,125952,428252,393410,709903,9003,4377,0,0,6019,6803,913917,4284,70943,400127,5000,632957,57667,1580,0,3762,3629,3289,7323,7135,2490,10569,1729,2008,2681,14822,49898,303104,535357,227821,5350,27007,98267,304967,790162,738,3787,9158,5813,17863,83947,1981,2987,3945,0,29203,16242,3935,9723,1509,3193,757072,95271,2358,0,13814
D11B28C,51421,37632,0,0,3363,5619,26114,47380,34028,6890,96092,50608,190051,2783,13460,12912,299404,23958,0,3541,30143,611823,80957,1276606,3227,8318,35545,3530,39176,5297,10043,0,14901,98298,33069,74771,20651,39292,7236,102769,2143608,1095670,0,4142,1451,0,4647,66230,507477,17803,15418,19039,208356,320758,10130,30442,12136,22612,4928,24307,1090,5971,1977,122499,935027,11798,11950,179525,148548,6621,1037766,5103,5381,15794,26995,1012,1074970,357699,5723,4205,11627,5672,19974,1886,0,1937,0,0,313,0,136549,130590,326039,306136,623697,10550,4354,0,0,6030,6866,935706,4671,93365,7901,556,596265,46206,1105,0,5468,6618,7555,8218,11234,8506,10688,1553,3892,2928,12427,48522,364493,639467,251704,7355,36200,206889,479172,1181990,1053,4782,11141,7950,27757,82265,3420,3335,3967,0,32617,18282,3904,12023,1146,3496,993422,158557,3344,3125,18382
D11B28B,10719,14248,0,0,3878,3852,42175,47785,30395,5588,104953,29697,217103,1028,13428,17515,345953,17408,2213,7951,15396,512597,99421,1573323,3430,8073,27013,2032,26015,4296,7917,0,12670,126858,94299,46277,13550,28459,3816,88177,2153318,644268,2594,669,1546,0,4266,68942,521477,12295,12361,17070,256210,1704498,7377,20108,14165,21737,3409,30255,4063,5673,2089,101678,1343456,8530,11729,174785,143869,16549,924119,6094,7884,25429,27855,4910,1264473,234797,4118,5521,14175,1328,28193,0,2437,1087,0,824,385,361,110199,110255,292822,317626,612235,8989,1063,0,0,7821,6288,866432,3671,55220,186632,2888,473844,49861,1617,0,2841,1998,2306,5950,5195,3505,15184,3964,2264,2210,15610,43697,342159,321838,113189,5382,27618,152771,416658,584892,789,5148,8250,8050,12907,48625,1465,3250,3134,705,18609,8694,2222,9678,1719,2102,952276,37267,3002,0,3940
D11B26C,7850,35201,317,0,3850,6694,23490,44744,32095,4919,102413,49981,213575,2933,9488,12056,315310,25317,2468,4084,15840,642564,72534,1349247,3034,9901,41322,2974,28262,5449,6748,2181,15310,62717,87146,59737,14789,32463,5497,71603,2137862,1063589,0,2317,4708,0,3190,71454,561037,10392,0,57760,248091,426286,12696,25113,12654,22670,1800,7049,3578,7418,2544,133123,1014661,12856,12804,233064,156396,7948,1189596,6488,2948,15803,31850,612,1328041,432918,7261,4729,35311,6161,17988,0,2700,5833,1193,0,0,497,117388,134042,297724,309283,673443,5997,819,1304,0,1155,5730,1002802,5760,79561,348907,4115,523079,45165,1828,0,5115,4905,6513,6886,8818,7058,11064,4328,1693,2475,4617,35593,237948,596624,236599,3632,27155,127099,265532,760132,1320,5065,7951,4938,12430,87722,3068,2513,1460,0,32569,19049,3766,12455,0,2644,695787,67273,2738,0,0
D11B212B,7646,17539,0,0,6952,3264,49456,32788,30768,3593,68709,62318,112681,3587,10986,46675,304014,21765,591,0,44312,761152,139167,1366589,1180,16643,59226,910,11434,3016,3139,0,14410,63762,63999,45411,45814,40222,5198,27590,828172,103958,0,845,9361,2053,11363,103131,793558,34995,26802,116251,955748,1337277,10950,17206,34191,58719,707,35331,12154,15394,3377,597386,1041555,17730,65221,1309261,325588,26918,987144,6180,54365,70676,65015,1488,1333458,276550,3253,4777,429759,43904,40053,929,9477,52633,5145,10803,5216,694,127828,97327,323917,632895,942251,1983,9166,5428,58552,5190,7114,1019522,1061,74683,74739,4302,272940,34646,1653,0,3925,3431,3037,7598,5013,3965,7498,7809,4274,6147,5485,37904,167556,172802,37120,9439,26584,112304,167876,82397,527,4521,3594,3086,1503,40134,3034,15456,9998,0,15723,7121,2223,6914,1226,2571,234710,4915,2531,0,0
D11B210T,10799,26478,0,0,2757,1841,30341,30838,31107,5015,78149,37377,204224,2662,13362,12961,253544,17742,2686,5463,11702,495228,94879,1361162,2665,7195,33450,2251,23035,4143,6335,0,10553,81972,80012,51650,13089,32780,2554,74457,2218392,985765,1488,421,596,0,3504,60525,430262,18978,13124,24585,239748,1355338,8770,21911,11826,20807,2265,23422,2105,6843,1735,112656,1417078,11820,10160,183449,132003,10137,1187199,5478,5647,16489,30472,1546,1307457,358629,7140,5723,20670,4558,35677,1191,2035,454,0,1417,0,0,132769,123856,364905,387519,621053,9843,4582,2003,0,7722,6368,969896,3737,69951,287342,885,688549,53470,2530,0,9502,6528,7219,13465,12623,9147,9626,4684,2160,1830,8469,26708,202396,445492,151121,5205,21323,99522,259107,544353,1092,3306,5916,4349,15746,53145,2782,1707,2096,1380,24913,9702,2852,11069,2199,2686,689512,29379,1666,0,0
D11B16B,5288,48666,0,0,2382,2185,33125,28068,32425,5389,91721,45045,261666,2776,12896,14455,355447,19773,1764,4711,18176,568482,76491,1600169,147,6710,28021,1356,24435,5750,11880,0,12089,98238,66037,31332,12119,23451,2778,40833,1830830,607946,0,1075,505,0,3680,68449,614912,16565,12413,41144,222057,1705751,10269,19884,10157,19890,1993,15338,2690,4930,2359,80577,1310314,8668,8694,137535,106814,5592,901916,4599,5087,12752,25130,814,1412969,273813,4451,2945,28196,6775,24875,2114,2727,3214,0,1068,523,0,106663,114879,248900,288822,597864,1134,370,0,0,6167,5808,1068251,0,65715,237243,516,644897,40445,2361,0,5959,5776,2336,9277,8470,5421,14598,7934,2483,1636,16381,36071,291466,402957,138262,5247,22689,131909,342265,683529,576,3392,6054,2365,9295,65512,1763,2405,4529,0,19052,9262,2633,8220,1514,2727,897854,41875,2074,0,11370
D11B110B,18061,12234,0,0,5753,2940,48901,62388,27171,7089,147642,23411,261126,868,10025,47080,526853,17044,2929,9880,29529,482215,146267,1567075,657,6262,26231,4159,22581,3419,8405,0,16771,156564,134767,71533,19521,33963,2119,84250,1891933,216998,0,1544,12334,0,8908,117674,810829,12832,12443,39430,521669,1548290,1471,36303,14255,24112,2783,26273,8587,9176,2623,196015,1044834,10774,15665,246859,210892,14561,647764,5540,12418,31104,27643,633,1174557,143833,5472,6081,121497,16532,24665,2349,6474,7202,1618,4420,881,512,114957,68783,194393,494561,643979,481,3380,0,23697,9078,10197,1155513,2732,47986,149793,2880,634238,54592,2964,0,10523,7513,6607,9067,15682,10732,7487,4460,382,1797,13230,41454,312561,297929,60714,10821,30322,129423,325820,256853,1140,4238,5903,4665,4090,43392,4027,2750,2179,1707,38368,7289,3208,12830,2854,4841,644135,12388,3101,0,1434
D11B112T,17895,23434,0,0,5253,7528,47463,62300,30197,8946,137263,86589,228304,781,12831,19721,283586,20661,0,5575,17820,561138,94152,1556019,2500,7446,34197,1545,20350,3489,6181,0,15713,114773,115254,69263,17706,34824,3900,83998,1903607,250906,0,6491,1210,0,5038,75467,447321,20166,12344,29882,348352,1598950,7893,30063,13643,22929,0,8125,3740,8006,2213,115299,1151485,11597,12292,217169,146957,13006,707033,5772,8599,18103,25457,7539,1044272,138759,3457,5163,18435,5431,40325,0,0,2136,0,0,527,493,125256,105630,307720,476696,694607,16430,800,0,0,7826,9056,1133665,4707,87669,232962,787,700714,85747,2118,0,6066,5798,3522,7440,5975,5753,7519,6772,1669,2922,13860,57683,462253,305580,89387,8618,47107,261939,554178,513656,0,6479,8588,6106,8541,77103,2268,2271,3011,843,25785,11145,2872,10370,1668,2070,916550,22833,3241,663,8185
