samples,CAR(12:1),CE(20:3),CE(20:4),DG(34:1),DG(36:2),DG(36:3),DG(36:4),DG(34:2),DG(34:3),DG(34:4),DG(36:5),DG(36:6),DGDG(32:0),DGDG(32:1),DGDG(34:0),DGDG(34:1),DGDG(34:2),DGDG(34:4),DGDG(34:5),DGDG(36:1),DGDG(36:2),DGDG(36:3),DGDG(36:4),DGDG(36:6),DGDG(38:2),DGDG(38:5),DGDG(38:6),DGDG(40:2),DGDG(42:2),DGDG(42:3),DGDG(44:2),GlcCER(40:1),GlcCER(34:3),GlcCER(36:3),GlcCER(38:3),GlcCER(40:3),GlcCER(42:3),LPC(16:0),LPC(18:0),LPC(18:1),LPC(18:2),LPC(18:3),LPC(20:1),LPC(16:1),LPE(18:2),LPE(18:3),MGDG(34:1),MGDG(34:2),MGDG(34:3),MGDG(34:4),MGDG(34:6),MGDG(36:3),MGDG(36:4),MGDG(36:6),MGDG(36:7),MGDG(38:1),MGDG(38:5),MGDG(38:6),PC(30:0),PC(32:0),PC(32:1),PC(32:2),PC(34:0),PC(34:1),PC(34:2),PC(34:4),PC(36:1),PC(36:2),PC(36:3),PC(36:4),PC(36:5),PC(38:2),PC(38:3),PC(38:4),PC(38:5),PC(40:6),PC(34:3),PC(36:6),PC(42:3),PC(44:2),PE(34:2),PE(34:1),PE(34:4),PE(36:2),PE(36:3),PE(36:5),PE(36:6),PE(38:7),PE(42:3),PE(44:2),PG(32:0),PG(32:1),PG(34:2),PG(34:3),PG(34:4),PG(34:5),PG(36:6),PG(36:7),PS(42:2),SQDG(32:1),SQDG(34:1),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:5),SQDG(38:6),SQDG(32:0),SQDG(36:4),TG(42:0),TG(44:1),TG(46:0),TG(46:1),TG(46:2),TG(48:0),TG(48:1),TG(48:2),TG(50:0),TG(50:2),TG(50:4),TG(50:5),TG(52:0),TG(52:3),TG(52:4),TG(52:5),TG(52:6),TG(54:3),TG(54:4),TG(54:5),TG(54:6),TG(54:8),TG(56:3),TG(56:5),TG(56:6),TG(56:7),TG(58:6),TG(46:3),TG(48:3),TG(48:5),TG(48:6),TG(40:1),TG(40:2),TG(50:3),TG(52:1),TG(52:2),TG(54:1),TG(54:2),TG(54:7),TG(54:9),TG(56:4),TG(56:8),TG(58:15)
D11B14T,3550,39841,0,0,1439,3177,14219,10653,44315,2915,73665,61367,235983,1840,13102,9608,277197,17109,1694,2175,30627,867117,52336,1722463,2694,5080,25881,0,11793,8875,21603,0,15980,130955,65944,34059,15317,23808,2391,5229,195182,116221,0,0,1665,3304,5051,64489,1090572,10447,0,147777,153603,1457811,9358,22377,7332,14775,0,6136,2395,2649,4369,86230,1737041,8199,16279,320532,630489,0,1202239,6947,7550,4691,22034,0,1704267,829526,2737,2733,171545,19335,15485,7166,28097,34638,16891,8259,7865,0,60890,70107,91401,156317,427220,0,0,0,13957,5357,0,1041986,0,90511,91890,0,617883,13839,2311,0,7055,7229,3274,4666,10458,6875,11363,18589,2132,2998,13932,41169,168547,537625,473189,4911,23115,113473,126601,541761,2104,5448,12975,2054,7132,87632,3041,1738,5126,606,23568,39175,4138,16121,2914,5256,344922,56515,2310,0,0
D11B18C,14457,33198,0,0,2971,2155,48093,15445,43057,4970,99464,53700,209377,466,10468,16307,324575,31291,639,1441,25088,489448,93228,1228573,3139,10117,50902,1189,15647,4572,8566,0,13856,79558,55629,41561,14750,29844,3589,54603,1994654,759309,0,1497,7410,3456,4680,87822,597992,11117,12433,55053,328959,551066,15790,29024,11376,32129,1633,21414,4370,10492,2441,178428,1127759,14927,13802,289448,194410,8712,836654,8707,6755,21045,39146,1017,1209896,411557,2942,3007,81816,10579,24627,2417,3285,12811,2812,3396,271,0,123974,139654,312294,393722,841719,5597,3825,538,0,4580,6848,1080843,7969,97597,288209,5089,601417,61291,2607,0,4464,1751,1853,8893,4690,855,8801,12622,1694,2434,5014,48725,389171,600292,152782,6885,31234,158222,373779,780938,0,3763,5133,5369,6364,82198,1253,2253,6031,625,21328,11997,2711,8670,1906,3866,852030,30586,2592,0,3279
D11B14C,1954,67128,0,1252,2805,2935,16845,15690,44336,3951,92183,70419,302405,2201,14311,12379,365738,22474,2025,3182,23316,735667,68482,1630530,0,2530,30932,0,19611,10209,15301,0,15915,128321,78297,45552,16032,20509,2571,24691,791296,538163,0,936,935,0,5046,69703,956956,10910,0,71310,155166,1750535,11768,21123,6761,15001,0,15076,1769,1644,3720,64382,1450332,8006,7145,96584,174098,0,716306,4790,3459,6964,20861,656,1556867,392226,0,2170,64604,9930,17911,4927,5821,11678,4991,3226,1345,0,108833,113225,164786,219171,579054,0,2276,0,0,6424,6656,1293792,1349,87665,8268,3662,876463,20850,2151,0,7815,8143,4775,11388,10734,6725,11235,14032,2773,3388,6262,25991,200852,620285,444672,6678,14820,89767,92988,846664,1283,4792,9387,2881,14737,82586,2953,1393,4145,0,21454,28278,4285,13032,2176,3856,478660,77570,2417,0,0
D11B112B,26370,6456,0,4231,6921,12557,103332,65698,22047,2279,126474,9548,147612,3373,5895,92143,608180,7818,0,21102,40941,191904,154640,1948109,4583,4039,8448,2107,12614,1331,14002,0,22745,183593,129490,57486,16654,83833,4453,228146,943877,46526,0,558,6763,0,21326,119879,420116,15770,5926,87020,573788,1723276,0,34164,5451,7519,4075,176562,19573,19154,5700,935449,937428,5407,53094,438797,889335,57106,607966,7331,27529,34051,9172,1170,1070474,81664,3165,4488,236972,22880,55214,2804,6947,5945,0,2549,1407,0,102325,14071,198748,407309,98181,0,3609,0,15591,9601,17420,689794,0,23521,54751,0,338414,30846,1918,0,4279,8803,2173,13476,15211,7884,11201,23125,4282,2231,11429,135069,537210,223126,27245,14573,58901,364425,640912,138023,0,5833,4097,2879,486,31448,2378,1751,1186,830,56512,11067,4662,18847,2865,4711,576306,4209,4625,0,6318
D11B26T,10711,66432,0,0,3646,2973,24091,17490,34649,4591,85427,57928,202131,2712,11272,9440,257311,16535,1507,0,19674,478048,66732,1761327,620,3044,25878,1571,15377,5452,10696,0,14974,84758,58064,44837,14794,27608,5737,64642,2060854,740691,0,1904,290,0,3224,51064,416257,13291,0,32263,196215,1771076,8224,22869,7086,12765,2484,13599,2395,1365,2421,84836,1508160,8817,9789,159010,133877,6622,907950,5704,2653,5803,19985,872,1544517,329916,0,2164,26825,4201,53682,0,1054,399,0,0,0,0,117876,91527,289982,237545,413129,2048,3222,0,0,6262,5196,1038244,3266,58985,27493,758,585036,36481,3143,0,8545,8364,4248,13017,13598,8628,10907,23019,3238,2351,12019,42204,302721,692517,290390,6159,22101,115319,176653,578634,1420,6319,7753,4194,7024,78995,1975,2478,5588,567,27410,20997,2885,14169,3096,4663,556902,32710,2897,0,15785
D11B18B,22038,18793,0,0,2598,1823,44588,19137,31225,3773,94644,25797,257436,659,13189,17756,398042,18878,794,2970,23169,573537,99616,1524777,993,7533,29754,1414,12479,4380,9909,0,10550,94072,55645,32665,12784,23280,3872,61399,2219518,685734,0,1855,9360,4730,4435,75479,555974,20813,12741,40670,296677,1519683,10337,23071,12414,23344,1256,9290,4929,6918,1889,121809,1232335,10517,12708,207590,166414,19618,1137434,6706,6449,22815,29916,266,1354643,299399,2681,2982,92467,7015,46570,1811,3823,9980,1864,3900,1051,0,96911,99664,294436,303364,673267,4973,2424,0,0,6687,7608,1115115,3789,65830,11915,309,615439,58287,1858,0,5154,4204,2070,8297,6183,4524,7214,8719,1759,1491,8378,33027,221835,317939,95209,5570,21588,103768,288028,499619,0,3378,3464,4904,1424,45961,909,1534,5292,0,14705,6045,1854,7369,1795,3277,777543,21910,2156,0,4501
D11B210B,18223,12814,0,0,7585,2920,90839,52895,34785,6555,111635,18936,202240,3251,11114,51978,514454,12794,2622,9647,35208,467231,147944,1757430,1023,6071,20355,1866,14693,2732,7415,0,18637,143459,105899,58953,20013,43474,1872,97459,1988699,142416,0,535,14025,0,8694,109019,761239,22929,10462,68787,491729,1319765,1543,33114,11085,21438,3933,57049,8777,11367,3746,235778,1223556,11652,22152,373683,108519,21570,774125,9086,16046,37618,26571,217,1096738,131505,3336,4581,144606,33211,21890,2645,6714,8451,0,4306,1445,445,135363,65197,223046,582181,589450,726,1713,0,29136,9539,11637,1115843,2997,56703,82991,2374,534930,53134,2290,0,6226,2576,3374,10314,8633,5919,8246,10068,3744,2868,9433,52363,328236,234505,38758,6730,29472,160861,435023,215146,0,3902,3831,3847,1143,35835,2702,3890,2653,687,22570,7307,2979,9846,1815,3023,656436,7815,2369,294,2154
D11B212T,61250,16594,0,0,1250,1784,51399,28207,31344,6434,75744,32949,169785,3342,9741,18654,231036,17254,0,1132,21680,437356,92996,1395722,1642,6584,28541,1519,11065,2774,7229,0,12711,91604,81078,43625,15102,35517,2538,61519,1930456,424431,0,3252,0,0,4648,69477,404689,17064,13296,28072,367400,1178260,7344,24269,15318,22466,0,25815,5557,10976,2236,186166,1400739,13798,17337,406915,280847,21444,1267379,6505,12445,31484,36337,1087,1260135,280471,3733,3529,22702,3960,27376,0,0,838,0,2100,0,501,120659,97121,275185,510020,706945,10356,5728,2230,0,5656,5878,912262,2836,52736,11861,2655,487417,62832,2490,0,5532,6099,3913,9227,8614,5913,7123,7619,2722,1829,8212,53996,346036,398460,89302,9024,48910,316756,631338,558924,0,5031,5464,7325,2817,44834,1673,2401,3002,0,16440,6603,2313,7686,1781,2442,1067184,19670,3457,0,5617
D11B110C,26847,25639,476,1215,5533,4110,63023,24706,41470,5330,114835,37458,216671,3220,16262,17785,305566,23422,2564,4109,28707,743531,89815,1247286,2711,8401,36019,1168,10249,3937,9841,0,13133,81695,0,43551,16054,33337,5097,62940,2060837,636092,1590,130,844,0,5086,85351,543268,23520,15714,69851,357016,980835,11496,24493,14320,28239,2170,22885,4761,11966,2592,162372,803541,15140,18967,508070,200309,21242,734198,9213,11795,27931,37323,619,1166092,303166,2064,3442,31640,5717,36004,1750,2096,4192,0,1794,0,0,126256,126447,305677,397057,779083,7065,3921,1727,0,5413,7281,1079498,5969,106354,217358,4035,622324,65857,1876,0,4421,3275,2555,8082,5401,1741,6744,18013,2809,2855,7843,50914,356434,508106,105266,9846,42400,200872,498940,775062,0,4416,4344,7311,1382,61753,829,2832,2280,528,22010,8183,1645,11101,2066,4321,761617,25785,3372,0,12663
D11B112C,42731,23721,0,0,6880,3444,58517,17567,27266,7991,118561,41718,195860,320,14105,23313,260076,17667,2628,2607,25172,399235,83899,1245532,1110,6708,27950,728,9153,2900,8764,0,13850,93517,71908,51892,17477,38643,6730,91109,2063225,514317,0,3892,872,0,5762,94850,565222,19920,14154,34815,434000,1432531,8034,31935,15686,26464,2642,28398,5123,9773,2464,172304,802198,13208,20534,534109,154810,21252,962876,8679,14448,37940,33093,1173,961227,174384,2213,3803,23273,1511,37183,1378,2651,2674,0,1407,0,0,119875,89927,261917,506689,718375,8676,5362,0,0,5393,7362,993478,3644,81208,165570,941,563930,64034,2336,0,5968,6731,2648,9839,10191,7251,6708,16832,4138,3528,6789,85921,500201,479348,79219,13206,78233,410799,704913,547545,0,7175,4421,10592,934,58886,1911,4649,3248,490,24905,8491,2230,12697,2043,3348,778981,15469,5183,0,8092
D11B210C,9085,29660,0,0,4693,1866,47144,17916,43575,6409,117738,48318,226447,3378,15495,16218,263830,19020,2241,2036,18952,516402,81309,1463888,3176,6657,25739,902,16514,3668,8118,1958,14615,93309,66937,49277,20552,34451,6895,107509,2558624,922069,0,7552,4352,0,3963,56164,378617,20963,11189,42174,190386,455381,6485,27695,9373,17537,2794,35801,3404,5679,1515,84465,1481273,11202,9062,164828,78092,5032,709868,6361,4514,14925,20889,1634,977795,185417,2183,2425,25249,390072,25789,14414,4184,3209,0,2121,271,0,138666,109488,302344,358644,588655,8175,372,1955,0,8197,7503,1161890,5616,85311,14060,3280,705949,61700,2803,678,6611,1769,3075,10537,7503,5099,7334,13979,2790,2340,7491,48005,353068,485150,113192,9099,35471,220414,460939,895047,0,5512,5445,8094,1467,57442,1629,3086,2912,0,22057,8554,3725,10938,2361,4227,897158,35161,3171,412,10120
D11B16C,7178,56746,0,905,2972,0,30443,19050,42850,3859,103417,45953,265208,808,14372,10943,278678,23045,1728,2005,20413,655195,64652,1320981,3542,5860,33966,1323,19162,6077,12032,0,14022,97562,71510,34552,12718,24227,4698,53717,2085162,1041316,0,1194,14714,7866,3342,78555,714486,8512,0,60092,235286,1535474,15007,20007,9527,20073,0,14021,2923,6409,2892,112315,851081,13771,10621,217712,126289,7850,1157022,7376,3530,13356,29443,494,1307125,460700,3510,2852,129642,10620,46656,2669,6761,25703,6056,3275,1260,0,139296,142713,267684,344115,696286,1543,469,0,8238,5739,5089,1084951,6654,81407,165415,796,660811,32852,2120,0,4509,1613,2482,7386,5917,4000,5770,8119,2596,2325,6054,17513,200429,424490,186477,6072,17209,77648,131946,571222,0,3140,5082,2979,16303,70647,1077,2297,5207,0,13834,13150,2788,10114,1906,3301,475389,34761,1362,0,2572
D11B110T,168381,45259,0,999,3610,3096,35569,21319,35139,7991,102021,102139,221665,2833,12012,12184,229580,19446,0,1794,16101,423014,70606,1635175,1847,6050,27808,1348,12112,3837,9448,0,12621,105737,80239,46161,17598,36713,2416,73765,1882217,410870,0,1299,2212,0,6284,71585,486404,18287,13671,24545,288540,972753,9085,27619,10182,20769,5128,17593,3823,5846,3707,113858,1270434,9575,9667,162778,77798,7161,769714,5663,5311,13135,23797,7030,1261796,194674,0,3087,19592,3063,38284,0,0,2344,785,0,0,0,132438,137089,292584,376287,595814,17140,3959,0,0,6079,6897,930189,0,62542,22106,0,657610,50623,2075,0,7643,8025,4058,4227,8849,6929,8314,17824,3858,3090,7659,73617,561238,753302,165856,10485,50944,274542,484205,855521,961,6422,8636,8070,6606,96138,2202,2937,8390,0,31312,16468,4625,12746,2701,4461,1040883,32114,3650,537,17992
