Acylcarnitine_12.1,
CE_20.3,CE(20:3)
CE_20.3.1,CE(20:3)
CE_20.3.2,CE(20:3)
CE_20.4,CE(20:3)
Cer_NS_d18.2_18.1,
Cer_NS_d18.2_20.1,
Ceramide_C17,ST(0:0)
Ceramide_C17.1,ST(0:0)
Ceramide_C17.2,ST(0:0)
Cholesterol,C
Cholesterol_d7,
CUDA,
DG_12.0_12.0_0.0,DG(24:0)
DG_12.0_12.0_0.0.1,DG(24:0)
DG_18.1_2.0_0.0,DG(20:1)
DG_18.1_2.0_0.0.1,DG(20:1)
DG_34.1,DG(33:1)
DG_34.1.1,DG(33:1)
DG_36.2,DG(36:2)
DG_36.3,DG(36:3)
DG_36.4,DG(36:4)
DG_16.0_18.2,DG(34:2)
DG_16.0_18.3,DG(34:3)
DG_16.1_18.3,DG(34:4)
DG_18.0_18.3,DG(36:3)
DG_18.2_18.2,DG(36:4)
DG_18.2_18.3,DG(36:5)
DG_18.3_18.3,DG(36:6)
DGDG_16.0_16.0,DGDG(32:0)
DGDG_16.0_16.1,DGDG(32:1)
DGDG_16.0_18.0,DGDG(34:0)
DGDG_16.0_18.1,DGDG(34:1)
DGDG_16.0_18.2,DGDG(34:2)
DGDG_16.1_18.3,DGDG(34:4)
DGDG_16.1_18.3.1,DGDG(34:4)
DGDG_16.2_18.3,DGDG(34:5)
DGDG_18.0_18.1,DGDG(36:1)
DGDG_18.0_18.2,DGDG(36:2)
DGDG_18.0_18.3,DGDG(36:3)
DGDG_18.1_18.3,DGDG(36:4)
DGDG_18.3_18.3,DGDG(36:6)
DGDG_20.0_18.2,DGDG(38:2)
DGDG_20.1_18.4,DGDG(38:4)
DGDG_18.3_20.3,DGDG(38:6)
DGDG_22.0_18.2,DGDG(40:2)
DGDG_24.0_18.2,DGDG(42:2)
DGDG_24.0_18.2.1,DGDG(42:2)
DGDG_24.0_18.3,DGDG(42:2)
DGDG_26.0_18.2,DGDG(44:2)
DGDG_26.0_18.2.1,DGDG(42:2)
GlcCer_d40.1,
GlcCer_NS_d18.2_16.1,
GlcCer_NS_d18.2_18.1,
GlcCer_NS_d18.2_18.1.1,
GlcCer_NS_d18.2_20.1,
GlcCer_NS_d18.2_22.1,
GlcCer_NS_d18.2_22.1.1,
GlcCer_NS_d18.2_24.1,
LPC_16.0,LPC(16:0)
LPC_17.0,LPC(17:0)
LPC_18.0,LPC(18:0)
LPC_18.1,LPC(18:1)
LPC_18.2,LPC(18:2)
LPC_18.3,LPC(18:3)
LPC_20.1,LPC(20:1)
LPE_17.1,LPE(17:1)
LPC_16.1,LPC(16:1)
LPC_18.1.1,LPC(18:1)
LPC_18.2.1,LPC(18:1)
LPE_18.2,LPE(18:2)
LPE_18.3,LPE(18:3)
MGDG_16.0_18.1,MGDG(34:1)
MGDG_16.0_18.2,MGDG(34:2)
MGDG_16.0_18.3,MGDG(34:3)
MGDG_16.1_18.3,MGDG(34:4)
MGDG_16.1_18.3.1,MGDG(34:4)
MGDG_16.3_18.3,MGDG(34:6)
MGDG_18.0_18.3,MGDG(36:3)
MGDG_18.1_18.2,MGDG(36:3)
MGDG_18.2_18.2,MGDG(36:4)
MGDG_18.2_18.4,MGDG(36:6)
MGDG_18.3_18.3,MGDG(36:3)
MGDG_18.3_18.3.1,MGDG(36:3)
MGDG_18.3_18.3.2,MGDG(36:3)
MGDG_18.3_18.3.3,MGDG(36:3)
MGDG_18.3_18.3.4,MGDG(36:3)
MGDG_18.3_18.3.5,MGDG(36:3)
MGDG_18.3_18.3.6,MGDG(36:3)
MGDG_18.3_18.3.7,MGDG(36:3)
MGDG_18.3_18.4,MGDG(36:7)
MGDG_16.0_22.1,MGDG(38:1)
MGDG_20.2_18.3,MGDG(38:5)
MGDG_18.3_20.3,MGDG(38:6)
PC_30.0,PC(30:0)
PC_32.0,PC(32:0)
PC_32.1,PC(32:1)
PC_32.2,PC(32:2)
PC_34.0,PC(34:0)
PC_34.1,PC(34:1)
PC_34.2,PC(34:2)
