"sample","group"
"D11C16B","Leaf_6"
"D11C110C","Leaf_10"
"D11C18B","Leaf_8"
"D11C26T","Leaf_6"
"D11C14C","Leaf_4"
"D11C112C","Leaf_12"
"D11C210B","Leaf_10"
"D11C16C","Leaf_6"
"D11C26C","Leaf_6"
"D11C210T","Leaf_10"
"D11C112B","Leaf_12"
"D11C18T","Leaf_8"
"D11C212C","Leaf_12"
"D11C28C","Leaf_8"
"D11C28B","Leaf_8"
"D11C212B","Leaf_12"
"D11C28T","Leaf_8"
"D11C110T","Leaf_10"
"D11C110B","Leaf_10"
"D11C14T","Leaf_4"
"D11C18C","Leaf_8"
"D11C26B","Leaf_6"
"D11C16T","Leaf_6"
"D11C112T","Leaf_12"
"D11C14B","Leaf_4"
"D11C210C","Leaf_10"
"D11C212T","Leaf_12"
"D12C23A","Leaf_3"
"D12C18A","Leaf_8"
"D12C110A","Leaf_10"
"D12C212A","Leaf_12"
"D12C210A","Leaf_10"
"D12C26A","Leaf_6"
"D12C13A","Leaf_3"
"D12C112A","Leaf_12"
"D12C28A","Leaf_8"
"D12C24A","Leaf_4"
"D12C16A","Leaf_6"
"D12C14A","Leaf_4"
"D13C26A","Leaf_6"
"D13C13A","Leaf_3"
"D13C24A","Leaf_4"
"D13C28A","Leaf_8"
"D13C23A","Leaf_3"
"D13C18A","Leaf_8"
"D13C16A","Leaf_6"
"D14C14A","Leaf_4"
"D14C13A","Leaf_3"
"D14C16A","Leaf_6"
"D14C24A","Leaf_4"
"D14C23A","Leaf_3"
"D14C26A","Leaf_6"
