,CE(20:3),CE(20:3),CE(20:3),CE(20:3),ST(0:0),ST(0:0),ST(0:0),C,DG(24:0),DG(24:0),DG(20:1),DG(20:1),DG(33:1),DG(33:1),DG(36:2),DG(36:3),DG(36:4),DG(34:2),DG(34:3),DG(34:4),DG(36:3),DG(36:4),DG(36:5),DG(36:6),DGDG(32:0),DGDG(32:1),DGDG(34:0),DGDG(34:1),DGDG(34:2),DGDG(34:4),DGDG(34:4),DGDG(34:5),DGDG(36:1),DGDG(36:2),DGDG(36:3),DGDG(36:4),DGDG(36:6),DGDG(38:2),DGDG(38:4),DGDG(38:6),DGDG(40:2),DGDG(42:2),DGDG(42:2),DGDG(42:2),DGDG(44:2),DGDG(42:2),LPC(16:0),LPC(17:0),LPC(18:0),LPC(18:1),LPC(18:2),LPC(18:3),LPC(20:1),LPE(17:1),LPC(16:1),LPC(18:1),LPC(18:1),LPE(18:2),LPE(18:3),MGDG(34:1),MGDG(34:2),MGDG(34:3),MGDG(34:4),MGDG(34:4),MGDG(34:6),MGDG(36:3),MGDG(36:3),MGDG(36:4),MGDG(36:6),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:7),MGDG(38:1),MGDG(38:5),MGDG(38:6),PC(30:0),PC(32:0),PC(32:1),PC(32:2),PC(34:0),PC(34:1),PC(34:2),PC(34:2),PC(34:2),PC(34:4),PC(36:1),PC(36:2),PC(36:2),PC(36:3),PC(36:4),PC(36:4),PC(36:4),PC(36:5),PC(38:2),PC(38:3),PC(38:4),PC(38:5),PC(40:6),PC(34:2),PC(34:3),PC(36:5),PC(36:6),PC(36:7),PC(36:8),PC(36:9),PC(38:4),PC(38:5),PC(40:3),PE(34:0),PE(34:0),PE(34:2),PE(34:1),PE(34:4),PE(36:2),PE(36:3),PE(36:5),PE(36:6),PE(38:7),PE(42:3),PE(44:2),PG(32:0),PG(32:1),PG(34:2),PG(34:3),PG(34:4),PG(34:4),PG(34:5),PG(36:6),PG(36:7),PS(42:2),SQDG(32:1),SQDG(34:1),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:5),SQDG(38:6),SQDG(32:0),SQDG(36:4),TG(42:0),TG(51:1),TG(51:2),TG(44:1),TG(46:0),TG(46:1),TG(46:1),TG(46:2),TG(46:2),TG(48:0),TG(48:0),TG(48:1),TG(48:1),TG(48:2),TG(48:2),TG(50:0),TG(50:2),TG(50:4),TG(50:4),TG(50:5),TG(52:0),TG(52:3),TG(52:3),TG(52:4),TG(52:4),TG(52:5),TG(52:6),TG(54:3),TG(54:3),TG(54:4),TG(54:4),TG(54:5),TG(54:5),TG(54:5),TG(54:5),TG(54:6),TG(54:6),TG(54:6),TG(54:6),TG(54:6),TG(54:6),TG(54:8),TG(54:8),TG(56:3),TG(56:5),TG(56:6),TG(56:7),TG(58:6),TG(46:3),TG(46:3),TG(48:3),TG(48:5),TG(48:6),TG(40:1),TG(40:2),TG(40:2),TG(40:2),TG(50:3),TG(50:3),TG(50:3),TG(52:1),TG(52:2),TG(52:2),TG(52:2),TG(52:3),TG(52:3),TG(52:4),TG(52:4),TG(52:4),TG(52:5),TG(52:5),TG(52:5),TG(52:6),TG(52:6),TG(52:6),TG(54:1),TG(54:2),TG(54:4),TG(54:4),TG(54:5),TG(54:7),TG(54:7),TG(54:7),TG(54:8),TG(54:8),TG(54:8),TG(54:9),TG(54:9),TG(56:4),TG(56:5),TG(56:6),TG(56:7),TG(56:8),TG(58:15)
D11B212C,1073,8410,4557,0,0,0,0,1274,4318,0,0,0,0,0,2956,2472,10678,44148,27486,5311,2489,35121,69321,17281,169649,2532,6729,9221,266834,9451,5997,2878,11170,29930,502650,91260,1204012,2084,5045,25053,2090,23288,3075,2723,2795,2801,40910,0,4897,51795,1197484,491937,0,0,2661,23158,916730,3846,0,3981,80025,647044,1438,18377,13812,36398,18039,409462,26241,2161,11711,10554,118652,23189,9543,868263,3561,7883,24633,13450,24732,0,35588,5780,12439,2610,182912,667518,72411,1785,14923,19091,134894,283801,302592,12259,8273,0,3910,5239,15535,4339,10600,1156,16943,1109815,1057209,48165,21606,150552,50648,39020,26091,10178,9420,0,42883,52040,19455,930,1364,4165,0,1224,316,0,103793,72718,203571,540120,686866,509,7980,5267,2378,0,5801,7095,954154,2580,74467,231480,373,591026,56110,539,223,0,0,1964,215,1456,419,1651,281,1522,0,2219,279,1579,1820,373,623,1663,2237,1494,3347,2500,13326,84160,2807,2455,0,0,3078,4218,1411,0,13028,8506,55367,10580,2993,411904,170946,7656,5383,246642,0,1461,2961,0,4849,0,35625,1963,3133,2648,0,2585,12164,14191,1729,4689,2438,1719,0,6434,7603,9296,22068,21548,56105,142218,18133,128250,74286,3772,42141,46179,0,1598,2907,22243,68663,46289,735604,495419,42994,39208,268902,9218,49995,1985,4567,7619,5625,1411,10924
D11B18T,0,21167,17912,0,0,0,0,1315,4830,0,1235,0,0,0,2370,1676,6513,26008,39118,4370,2365,26709,90722,43222,233038,2955,10905,14793,330988,8598,17859,2285,5898,12893,651246,88404,1327862,2472,8515,41929,2556,20973,8608,6233,6266,3570,27143,782,4366,42799,1279368,1028841,0,0,1594,18451,799748,1047,0,3686,85151,598719,4253,17673,17140,13998,7760,299088,35101,1693,14434,12081,123138,74855,5716,140908,9929,13491,20919,11199,21559,0,8576,2346,8575,1917,157367,788068,72265,4525,16609,14039,149819,72355,183253,0,0,7445,6721,6316,6033,1933,10667,1269,2322,1325726,1273034,20822,29517,465093,52339,14317,24301,10934,6873,1034,31268,26032,24180,2750,0,6127,0,0,319,0,130577,140062,362389,333870,748397,2467,7331,1145,1550,0,5995,6990,1070988,4688,87076,336759,1038,734943,54980,1259,0,369,0,5392,729,3080,424,2101,1035,4771,851,4691,762,2721,8388,887,862,1252,1610,9104,1815,9488,13396,77398,19456,172586,4960,0,4072,1987,1225,0,4469,0,17939,707,2057,147836,13447,0,41841,430571,696,598,1757,0,19243,0,84578,1369,2067,1377,0,2132,4699,13543,2918,9084,1472,2523,1010,0,7733,3495,13272,13718,10685,101675,24407,202498,0,10047,142402,78524,924,2372,0,11241,28085,27277,497853,59183,10714,56419,106991,20392,69196,1964,2464,4290,3425,0,12508
D11B24C,393,25059,18972,0,0,0,0,729,7110,0,0,0,0,0,4257,2030,2181,25591,48745,3967,10482,10770,85308,99659,150356,1588,9379,7752,302424,5528,12037,1918,4046,25200,703442,52944,1469872,2989,1053,25016,2239,17488,9538,6705,5540,5882,26278,514,8625,6790,302064,420294,0,0,1133,4772,201708,8693,6606,1992,38275,582564,0,8388,0,56837,12978,117022,22452,0,11775,11477,228672,33354,7031,1402444,2309,9973,15933,2600,9866,0,11613,1365,3445,2849,41177,1131327,39067,13665,11944,8823,105899,44195,45586,0,0,0,7901,4484,4961,3880,6925,1057,965,1259888,689198,41730,43735,455572,36413,4256,9904,0,1768,2500,116645,15776,25486,4420,19213,19852,10485,5949,3423,902,59346,58913,118480,153643,395286,0,0,2669,0,9871,5142,3714,497117,5303,74943,137008,3498,427133,19867,3146,0,395,0,13775,2256,8479,1445,7610,2265,10510,2635,24910,1938,4643,11778,2692,1071,1808,3404,12648,2848,7743,10984,72465,32663,277321,20594,0,5196,3032,2025,0,14077,9004,13022,18074,0,99625,140846,0,125988,1281258,1478,0,12392,1595,21392,0,88652,5324,0,2811,3511,0,14481,24044,2927,26414,5047,5666,0,0,15699,17491,20720,11736,8431,79374,38831,308071,9785,29915,588756,188877,2728,5430,2505,20159,36886,37153,716705,82076,21905,153260,252176,150537,1064366,2544,8387,8199,4114,2786,0
D11B16T,697,29487,22418,0,0,0,0,0,6973,0,0,0,0,0,4627,0,1422,28882,38947,4131,0,15679,102470,64916,188342,793,8745,8769,273307,5394,13645,1919,4021,10964,649556,66572,1623690,2261,5287,26615,3651,16100,8952,6731,1910,5233,25234,0,5430,34593,1209467,934370,0,0,2839,15125,644577,228,0,2715,50484,519564,2569,9307,0,32770,11490,180794,24762,1745,11894,12945,216256,15662,8880,1394915,7078,9240,21703,6644,10909,4153,8105,1985,659,2205,69290,1515773,16264,12649,10883,8885,87095,48261,64264,0,0,6608,8128,4016,3007,4262,7462,892,8772,1566826,911698,48131,35785,354370,33629,2063,12226,8835,2211,1693,42560,7188,40736,2689,4413,7400,0,1736,545,0,105136,78422,273914,270209,490123,0,1432,2807,1353,0,6889,4828,1109831,3540,86870,210606,3377,642041,36553,1634,0,0,0,7359,1118,2417,745,3630,1376,7226,1441,10114,1017,4799,11000,1944,0,1434,1812,14802,2057,10980,7180,40615,19908,148455,9470,0,6573,1743,1360,0,2803,3568,10040,3573,2783,75175,4867,2670,36442,369545,0,425,2782,0,34426,0,96247,2457,0,2922,1540,2059,4157,17103,2836,15095,1682,4266,0,1248,11454,5864,12956,9535,7019,72104,24887,194710,7664,13754,221419,66555,1168,1930,0,12064,19403,17823,341407,23589,5825,52275,61778,29971,5396,1638,3049,3053,2228,0,0
D11B28T,0,20657,16050,0,0,0,0,657,3913,245,0,0,0,0,0,1734,3497,25176,28231,3573,2032,14353,74900,63004,198559,3099,9864,2302,333018,8550,18688,3201,2564,22754,511185,98227,1342460,2297,10460,44548,937,18996,9978,5414,5823,3307,37990,0,7771,58105,1328604,1146085,0,0,0,22323,911732,2340,0,4289,78876,529191,4117,15405,17891,12703,7908,271203,33614,2043,14813,11809,101537,36984,13735,152078,9162,10997,28497,14724,22273,2345,14418,2226,8748,2081,162445,744655,66009,31826,14581,12349,50205,121926,199314,7678,0,7188,2950,4180,6998,3303,10927,3074,14382,1089202,1217721,68221,24354,363449,48922,16133,23345,5187,7126,0,18223,7689,30010,1414,1750,2809,0,0,167,522,148064,125952,428252,393410,706879,3024,9003,4377,0,0,6019,6803,913917,4284,70943,400127,5000,632957,57667,1580,328,733,0,3762,1029,2600,0,3289,1121,6202,1131,6004,685,1805,10569,1729,541,1467,2681,14822,3663,17393,15510,106221,24309,206269,5768,0,5350,2557,2426,0,8173,0,29477,1010,1198,245128,28154,0,51092,485567,738,0,2297,0,17863,0,83947,1981,2987,3945,0,2115,7225,17748,2742,11660,1840,3935,0,0,9723,4354,24488,19290,11495,150588,31066,258806,14907,11287,155326,55440,1509,3193,1772,20252,45047,35041,639591,82440,9786,66069,177648,22352,72919,2358,3787,6861,5813,0,13814
D11B28C,0,21672,15960,0,0,0,0,1146,4260,0,0,0,0,0,3363,2466,1968,47380,34028,6890,3153,24146,96092,50608,190051,2783,13460,12912,299404,8761,15197,0,3541,30143,611823,80957,1276606,3227,8318,35545,3530,24950,14226,5297,5652,4391,39292,0,7236,78177,1272247,1095670,0,0,4142,24592,871361,1451,0,4647,66230,507477,4043,13760,15418,12923,6116,208356,6991,1984,13795,10588,78968,31346,11517,157187,8382,10130,30442,12136,22612,4928,24307,1090,5971,1977,122499,870408,48985,4793,11798,11950,43719,135806,148548,0,0,6621,2511,5103,5381,4180,9435,1012,10841,1074970,979430,55825,17780,299486,40433,11614,17560,5723,4205,771,11627,5672,19974,1886,0,1937,0,0,313,0,136549,130590,326039,306136,620237,3460,10550,4354,0,0,6030,6866,935706,4671,93365,7901,556,596265,46206,1105,312,496,0,5468,1215,5403,939,6616,1227,6991,1800,9434,1295,7211,10688,1553,1611,2281,2928,12427,3348,13398,13561,127664,25703,243084,8656,0,7355,668,3461,0,11073,4596,37930,3809,1674,378973,56786,0,74346,838675,1053,297,2722,0,27757,0,82265,3420,3335,3967,0,3107,4744,21659,1884,14278,2120,3904,0,0,12023,5077,26699,22107,5636,195525,34510,336170,0,11073,177115,54860,1146,3496,1015,31056,95610,53282,881797,58343,15345,96183,157441,39144,119413,3344,4485,8419,7950,3125,18382
D11B28B,0,9460,4788,0,0,0,0,2711,4465,0,0,0,0,0,3878,2725,6810,47785,30395,5588,1127,35365,104953,29697,217103,1028,13428,17515,345953,6866,10542,2213,7951,15396,512597,99421,1573323,3430,8073,27013,2032,14624,11391,4296,4704,3213,28459,0,3816,69137,1523748,644268,2594,0,669,19040,629570,1546,0,4266,68942,521477,3812,8483,12361,9891,7179,256210,23083,1542,13158,10142,97274,43368,4014,1503940,7977,7377,20108,14165,21737,3409,30255,4063,5673,2089,101678,1251362,77428,2397,8530,11729,114906,59879,143869,6578,5005,4966,3665,6094,7884,5012,8977,4910,12269,1264473,870503,49951,21946,170838,42013,20417,18878,4118,5521,1361,14175,1328,28193,0,2437,1087,0,824,385,361,110199,110255,292822,317626,609508,2727,8989,1063,0,0,7821,6288,866432,3671,55220,186632,2888,473844,49861,1617,372,322,0,2841,647,1351,402,1904,1125,4825,783,4412,697,2808,15184,3964,943,1321,2210,15610,3352,20465,7172,160206,12751,70590,8423,0,5382,3140,2348,0,10933,0,49308,501,0,357709,9140,0,33503,445940,789,0,739,0,12907,0,48625,1465,3250,3134,705,1905,1699,13100,1070,6902,722,2222,864,1184,7630,1230,18650,23630,5676,145475,29559,205070,3868,6408,94268,4090,1719,2102,0,22130,70919,52740,889170,10366,4142,71610,29697,21524,15743,3002,5148,7511,8050,0,3940
D11B26C,343,22285,12573,317,0,0,0,1540,4664,0,0,0,0,0,3850,2475,1797,44744,32095,4919,4219,21693,102413,49981,213575,2933,9488,12056,315310,8546,16771,2468,4084,15840,642564,72534,1349247,3034,9901,41322,2974,15677,12585,5449,1405,5343,32463,0,5497,51123,1311963,1063589,0,0,2317,20480,825899,4708,0,3190,71454,561037,3225,7167,0,43031,14729,248091,30470,2176,14040,1795,158097,33834,4338,172347,9189,12696,25113,12654,22670,1800,7049,3578,7418,2544,133123,896528,59802,45819,12856,12804,154905,78159,156396,0,0,7948,7739,6488,2948,3350,11341,612,12512,1328041,1124874,56983,25339,358650,48929,12453,20509,7261,4729,671,35311,6161,17988,0,2700,5833,1193,0,0,497,117388,134042,297724,309283,671036,2407,5997,819,1304,0,1155,5730,1002802,5760,79561,348907,4115,523079,45165,1828,0,0,0,5115,1220,3685,910,5603,313,6573,1423,7395,0,7058,11064,4328,1693,0,2475,4617,2572,8149,18494,54140,16772,270394,10183,0,3632,2889,2565,0,7859,3890,23453,3065,1777,210939,26298,0,33694,582894,1320,344,3022,0,12430,0,87722,3068,2513,1460,0,2624,5390,21931,2865,14294,1890,3766,1149,0,11306,4149,20723,18957,6213,140144,30876,272243,6339,11075,187240,28101,0,2644,0,21701,57675,34639,633752,27396,5376,72192,65976,31483,35790,2738,4721,4929,4938,0,0
D11B212B,0,8845,8694,0,0,0,0,4227,5477,0,0,0,0,0,6952,1816,6344,32788,30768,3593,1448,43112,68709,62318,112681,3587,10986,46675,304014,15804,5961,591,0,44312,761152,139167,1366589,1180,16643,59226,910,7189,4245,3016,2422,717,40222,845,5198,16383,537187,103958,0,0,845,11207,290985,9361,2053,11363,103131,793558,4051,30944,26802,57751,58500,955748,39482,0,17657,13667,701294,99648,21763,438139,5627,10950,17206,34191,58719,707,35331,12154,15394,3377,597386,897586,72695,65916,17730,65221,706576,602685,325588,16772,10146,0,5194,6180,54365,3768,18827,1488,5358,1333458,918963,62987,23653,174415,78482,66908,46188,3253,4777,583,429759,43904,40053,929,9477,52633,5145,10803,5216,694,127828,97327,323917,632895,940801,1450,1983,9166,5428,58552,5190,7114,1019522,1061,74683,74739,4302,272940,34646,1653,0,220,0,3925,837,2594,0,3037,1314,6284,777,4236,776,3189,7498,7809,3628,646,6147,5485,2953,18372,11455,71875,11229,74568,2305,1146,8293,2465,1586,0,8654,0,18132,436,0,145394,3914,0,11888,57859,527,0,493,0,1503,0,40134,3034,15456,9998,0,2032,1089,10570,617,5876,628,2223,0,646,6268,784,15795,11788,0,72438,10707,75251,1047,2883,30718,1214,1226,2571,0,22533,51825,14903,217520,2287,0,11241,1409,4052,863,2531,4521,3101,3086,0,0
D11B210T,0,11885,14593,0,0,0,0,1266,4977,0,0,0,0,0,2757,1841,4858,30838,31107,5015,0,25483,78149,37377,204224,2662,13362,12961,253544,8251,9491,2686,5463,11702,495228,94879,1361162,2665,7195,33450,2251,13218,9817,4143,3992,2343,32780,927,2554,53913,1342722,985765,1488,1316,421,20544,875670,596,0,3504,60525,430262,2916,16062,13124,18322,6263,239748,30205,303,12427,10613,71222,58771,11432,1152370,7995,8770,21911,11826,20807,2265,23422,2105,6843,1735,112656,1308486,65162,31586,11820,10160,114733,68716,132003,1648,5633,2856,2571,5478,5647,3469,10077,1546,11844,1307457,1128589,56039,22167,289059,47403,13020,20395,7140,5723,750,20670,4558,35677,1191,2035,454,0,1417,0,0,132769,123856,364905,387519,617994,3059,9843,4582,2003,0,7722,6368,969896,3737,69951,287342,885,688549,53470,2530,398,0,0,9502,1631,4897,1195,6024,1514,11951,2163,10460,1498,7649,9626,4684,966,1194,1830,8469,2608,5003,17161,43093,12442,198027,11116,0,5205,2271,2407,0,4755,1885,30725,0,511,221507,6364,0,25535,428865,1092,303,1224,0,15746,0,53145,2782,1707,2096,1380,2460,4066,15927,0,7950,1752,2852,0,2269,8800,2765,16332,17371,5220,119551,28592,202751,3680,8007,120651,11347,2199,2686,1072,15573,46441,36371,635910,17231,3346,62526,24081,20969,8410,1666,3003,4692,4349,0,0
