,CE(20:3),CE(20:3),CE(20:3),CE(20:3),ST(0:0),ST(0:0),ST(0:0),C,DG(24:0),DG(24:0),DG(20:1),DG(20:1),DG(33:1),DG(33:1),DG(36:2),DG(36:3),DG(36:4),DG(34:2),DG(34:3),DG(34:4),DG(36:3),DG(36:4),DG(36:5),DG(36:6),DGDG(32:0),DGDG(32:1),DGDG(34:0),DGDG(34:1),DGDG(34:2),DGDG(34:4),DGDG(34:4),DGDG(34:5),DGDG(36:1),DGDG(36:2),DGDG(36:3),DGDG(36:4),DGDG(36:6),DGDG(38:2),DGDG(38:4),DGDG(38:6),DGDG(40:2),DGDG(42:2),DGDG(42:2),DGDG(42:2),DGDG(44:2),DGDG(42:2),LPC(16:0),LPC(17:0),LPC(18:0),LPC(18:1),LPC(18:2),LPC(18:3),LPC(20:1),LPE(17:1),LPC(16:1),LPC(18:1),LPC(18:1),LPE(18:2),LPE(18:3),MGDG(34:1),MGDG(34:2),MGDG(34:3),MGDG(34:4),MGDG(34:4),MGDG(34:6),MGDG(36:3),MGDG(36:3),MGDG(36:4),MGDG(36:6),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:3),MGDG(36:7),MGDG(38:1),MGDG(38:5),MGDG(38:6),PC(30:0),PC(32:0),PC(32:1),PC(32:2),PC(34:0),PC(34:1),PC(34:2),PC(34:2),PC(34:2),PC(34:4),PC(36:1),PC(36:2),PC(36:2),PC(36:3),PC(36:4),PC(36:4),PC(36:4),PC(36:5),PC(38:2),PC(38:3),PC(38:4),PC(38:5),PC(40:6),PC(34:2),PC(34:3),PC(36:5),PC(36:6),PC(36:7),PC(36:8),PC(36:9),PC(38:4),PC(38:5),PC(40:3),PE(34:0),PE(34:0),PE(34:2),PE(34:1),PE(34:4),PE(36:2),PE(36:3),PE(36:5),PE(36:6),PE(38:7),PE(42:3),PE(44:2),PG(32:0),PG(32:1),PG(34:2),PG(34:3),PG(34:4),PG(34:4),PG(34:5),PG(36:6),PG(36:7),PS(42:2),SQDG(32:1),SQDG(34:1),SQDG(34:3),SQDG(34:4),SQDG(36:3),SQDG(36:5),SQDG(38:6),SQDG(32:0),SQDG(36:4),TG(42:0),TG(51:1),TG(51:2),TG(44:1),TG(46:0),TG(46:1),TG(46:1),TG(46:2),TG(46:2),TG(48:0),TG(48:0),TG(48:1),TG(48:1),TG(48:2),TG(48:2),TG(50:0),TG(50:2),TG(50:4),TG(50:4),TG(50:5),TG(52:0),TG(52:3),TG(52:3),TG(52:4),TG(52:4),TG(52:5),TG(52:6),TG(54:3),TG(54:3),TG(54:4),TG(54:4),TG(54:5),TG(54:5),TG(54:5),TG(54:5),TG(54:6),TG(54:6),TG(54:6),TG(54:6),TG(54:6),TG(54:6),TG(54:8),TG(54:8),TG(56:3),TG(56:5),TG(56:6),TG(56:7),TG(58:6),TG(46:3),TG(46:3),TG(48:3),TG(48:5),TG(48:6),TG(40:1),TG(40:2),TG(40:2),TG(40:2),TG(50:3),TG(50:3),TG(50:3),TG(52:1),TG(52:2),TG(52:2),TG(52:2),TG(52:3),TG(52:3),TG(52:4),TG(52:4),TG(52:4),TG(52:5),TG(52:5),TG(52:5),TG(52:6),TG(52:6),TG(52:6),TG(54:1),TG(54:2),TG(54:4),TG(54:4),TG(54:5),TG(54:7),TG(54:7),TG(54:7),TG(54:8),TG(54:8),TG(54:8),TG(54:9),TG(54:9),TG(56:4),TG(56:5),TG(56:6),TG(56:7),TG(56:8),TG(58:15)
D11B16B,0,23588,25078,0,0,0,0,1959,6954,0,0,0,0,0,2382,2185,6503,28068,32425,5389,0,26622,91721,45045,261666,2776,12896,14455,355447,6425,13348,1764,4711,18176,568482,76491,1600169,147,6710,28021,1356,13080,11355,5750,5627,6253,23451,0,2778,29381,1255607,607946,0,0,1075,11452,575223,505,0,3680,68449,614912,3581,12984,12413,29562,11582,222057,29320,2028,12157,12160,122822,49020,3018,1467511,7715,10269,19884,10157,19890,1993,15338,2690,4930,2359,80577,1224276,71793,4811,8668,8694,83134,54401,106814,0,0,5592,6504,4599,5087,1985,8566,814,9434,1412969,850770,44642,26663,205479,41671,10767,16564,4451,2945,1531,28196,6775,24875,2114,2727,3214,0,1068,523,0,106663,114879,248900,288822,597864,0,1134,370,0,0,6167,5808,1068251,0,65715,237243,516,644897,40445,2361,0,0,0,5959,819,4957,0,2336,209,9068,1263,7207,935,4486,14598,7934,1201,1282,1636,16381,3182,17112,18618,124792,5400,183858,8128,0,5247,2603,1475,0,7796,879,38747,603,0,290887,12028,0,14983,570611,576,0,1120,0,9295,0,65512,1763,2405,4529,0,2197,2044,12614,1806,6603,853,2633,0,674,7546,1449,14328,18699,1763,127594,26448,185061,2190,8519,117906,3709,1514,2727,0,18611,61617,46659,841222,9973,1990,81622,14323,30548,11327,2074,3392,4934,2365,0,11370
D11B110B,0,5936,6298,0,0,0,0,4670,6721,0,0,0,0,0,5753,1069,6899,62388,27171,7089,1871,42002,147642,23411,261126,868,10025,47080,526853,10385,6659,2929,9880,29529,482215,146267,1567075,657,6262,26231,4159,15877,6704,3419,6870,1535,33963,1112,2119,59242,1312972,216998,0,0,1544,25008,578961,12334,0,8908,117674,810829,1959,10873,12443,19499,19931,521669,26135,555,12697,11453,169747,20482,11220,1292255,3746,1471,36303,14255,24112,2783,26273,8587,9176,2623,196015,903838,76625,46106,10774,15665,153980,92879,210892,2137,8796,3628,3088,5540,12418,4730,11203,633,18265,1174557,627469,17207,20187,69144,54502,26374,16440,5472,6081,0,121497,16532,24665,2349,6474,7202,1618,4420,881,512,114957,68783,194393,494561,643209,770,481,3380,0,23697,9078,10197,1155513,2732,47986,149793,2880,634238,54592,2964,0,0,0,10523,1878,5635,1311,5296,2119,6948,2913,12769,1741,8991,7487,4460,382,0,1797,13230,4563,7542,10369,144911,9418,132703,5085,0,10821,3829,3865,0,9739,0,36897,1180,835,276025,9431,1452,10755,197227,1140,0,822,0,4090,0,43392,4027,2750,2179,1707,3902,5426,25138,0,6123,1166,3208,1757,2210,8863,2364,26985,24058,3487,129736,21659,131115,3034,5004,48121,2504,2854,4841,0,22628,59842,46278,587169,10688,1642,36566,10663,8751,3637,3101,4238,5081,4665,0,1434
D11B112T,0,11078,12356,0,0,0,0,1361,4924,0,0,0,0,0,5253,4103,5976,62300,30197,8946,3425,41487,137263,86589,228304,781,12831,19721,283586,8201,12460,0,5575,17820,561138,94152,1556019,2500,7446,34197,1545,14138,6212,3489,2489,3692,34824,0,3900,55895,1205621,250906,0,0,6491,28103,697986,1210,0,5038,75467,447321,5101,15065,12344,17764,12118,348352,27447,876,12505,12127,138705,18996,10007,1370142,8145,7893,30063,13643,22929,0,8125,3740,8006,2213,115299,1063436,60334,16238,11597,12292,137257,79912,146957,6550,0,6456,4327,5772,8599,3825,10446,7539,11477,1044272,687789,14917,14251,89732,34776,14278,15011,3457,5163,1416,18435,5431,40325,0,0,2136,0,0,527,493,125256,105630,307720,476696,693539,1068,16430,800,0,0,7826,9056,1133665,4707,87669,232962,787,700714,85747,2118,522,0,0,6066,1063,4735,583,2939,1314,6126,1091,4884,884,4869,7519,6772,210,1459,2922,13860,4056,27368,25609,200893,6905,65806,4702,0,8618,4640,4812,0,12910,2901,57564,1904,832,477076,16802,0,20047,413212,0,474,1030,0,8541,0,77103,2268,2271,3011,843,2710,2410,17955,1875,7955,1315,2872,0,0,10370,1907,24352,26019,5428,204304,25248,204030,3591,8462,71673,4550,1668,2070,840,36815,123064,42350,861622,12578,1510,62578,16309,14716,8117,3241,6005,7558,6106,663,8185
D11B14T,0,19217,20624,0,0,0,0,520,6582,0,0,0,0,0,1439,0,2787,10653,44315,2915,3177,11432,73665,61367,235983,1840,13102,9608,277197,5019,12090,1694,2175,30627,867117,52336,1722463,2694,5080,25881,0,0,11793,8875,6761,14842,23808,0,2391,721,104078,116221,0,0,0,4508,91104,1665,3304,5051,64489,1090572,0,10447,0,131469,16308,153603,25876,787,10962,12650,129595,35620,8533,1226715,7073,9358,22377,7332,14775,0,6136,2395,2649,4369,86230,1635386,66258,26527,8199,16279,186252,134280,630489,0,0,0,12203,6947,7550,3251,8475,0,8870,1704267,1126038,63998,64766,722399,42361,1440,13559,2737,2733,1974,171545,19335,15485,7166,28097,34638,16891,8259,7865,0,60890,70107,91401,156317,427220,0,0,0,0,13957,5357,0,1041986,0,90511,91890,0,617883,13839,2311,0,0,0,7055,1106,6123,0,3274,1727,2939,1435,9023,1210,5665,11363,18589,720,1412,2998,13932,3577,10047,11639,73156,32299,237700,16268,0,4911,2268,2570,0,9321,0,8186,4524,977,66714,46200,0,60968,412960,2104,0,6098,0,7132,0,87632,3041,1738,5126,606,0,1593,21975,1825,35905,1445,4138,0,0,16121,3233,24312,12086,1863,69803,33871,231239,2516,22466,427267,7188,2914,5256,732,17545,52076,17973,323026,3923,1085,58914,7834,50069,6446,2310,5448,6877,2054,0,0
D11B18C,0,16469,16729,0,0,0,0,1130,4129,0,1331,0,0,0,2971,2155,6461,15445,43057,4970,0,41632,99464,53700,209377,466,10468,16307,324575,10767,20524,639,1441,25088,489448,93228,1228573,3139,10117,50902,1189,6182,9465,4572,5999,2567,29844,791,3589,36944,1182180,759309,0,0,1497,17659,812474,7410,3456,4680,87822,597992,4774,6343,12433,47216,7837,328959,38004,3166,15745,11448,182226,85605,16253,188279,10340,15790,29024,11376,32129,1633,21414,4370,10492,2441,178428,1056079,58732,5721,14927,13802,186987,102461,194410,0,0,8712,8584,8707,6755,2130,12853,1017,7227,1209896,762971,65099,19959,342036,49562,18915,26293,2942,3007,1020,81816,10579,24627,2417,3285,12811,2812,3396,271,0,123974,139654,312294,393722,839290,2429,5597,3825,538,0,4580,6848,1080843,7969,97597,288209,5089,601417,61291,2607,0,448,0,4464,707,1044,0,1853,1154,7739,0,4690,548,307,8801,12622,1694,0,2434,5014,3152,21770,21806,175340,29286,270791,8531,0,6885,2740,3399,0,8297,765,34147,0,0,331523,8109,0,78129,617234,0,0,1248,0,6364,0,82198,1253,2253,6031,625,2001,1363,15963,1664,9618,715,2711,0,0,8670,1373,22430,22646,0,169379,29491,267558,3166,8501,131404,4346,1906,3866,0,25095,74580,48085,798212,5733,1133,74790,9652,25235,5351,2592,3763,3885,5369,0,3279
D11B14C,0,32779,34349,0,0,0,0,713,7680,0,0,0,0,1252,2805,0,3119,15690,44336,3951,2935,13726,92183,70419,302405,2201,14311,12379,365738,6550,15924,2025,3182,23316,735667,68482,1630530,0,2530,30932,0,6411,13200,10209,7226,8075,20509,0,2571,14664,490577,538163,0,0,936,10027,300719,935,0,5046,69703,956956,0,10910,0,64927,6383,155166,33330,1944,12652,13519,235035,19408,3884,1423053,7710,11768,21123,6761,15001,0,15076,1769,1644,3720,64382,1405644,16909,21048,8006,7145,59959,36625,174098,0,0,0,7973,4790,3459,3403,8845,656,6731,1556867,674538,33795,35592,317062,39572,3561,12016,0,2170,1791,64604,9930,17911,4927,5821,11678,4991,3226,1345,0,108833,113225,164786,219171,579054,0,0,2276,0,0,6424,6656,1293792,1349,87665,8268,3662,876463,20850,2151,357,0,0,7815,1624,6519,859,3916,1465,9923,0,10734,0,6725,11235,14032,1274,1499,3388,6262,2477,4453,13467,93653,34317,279981,22499,1196,5482,0,1956,0,5550,733,12278,2771,0,53177,24762,0,83560,667712,1283,338,4352,0,14737,864,81722,2953,1393,4145,0,0,2251,19203,2948,25330,0,4285,1544,717,10771,2084,16977,13735,0,79997,33204,272783,0,21389,394592,6192,2176,3856,0,12864,41742,25671,445984,7005,1856,80343,13193,58807,18763,2417,4454,5035,2881,0,0
D11B112B,0,3144,3312,0,0,0,0,6139,9249,0,0,0,0,4231,6921,12557,20191,65698,22047,2279,0,83141,126474,9548,147612,3373,5895,92143,608180,6041,1777,0,21102,40941,191904,154640,1948109,4583,4039,8448,2107,3133,9481,1331,3873,10129,83833,1914,4453,164470,712806,46526,0,0,558,63676,231071,6763,0,21326,119879,420116,2294,13476,5926,43168,43852,573788,3981,1263,8562,8491,26325,21129,6025,1641211,6289,0,34164,5451,7519,4075,176562,19573,19154,5700,935449,775930,129529,0,5407,53094,262260,176537,889335,12414,44692,0,5750,7331,27529,6508,1581,1170,31969,1070474,595000,7216,25836,38982,16846,27543,7591,3165,4488,0,236972,22880,55214,2804,6947,5945,0,2549,1407,0,102325,14071,198748,407309,92276,5905,0,3609,0,15591,9601,17420,689794,0,23521,54751,0,338414,30846,1918,488,0,0,4279,1576,7227,0,2173,1676,11800,2465,12746,0,7884,11201,23125,1378,2904,2231,11429,9930,62164,38748,235371,2507,103611,1861,0,14573,0,8510,0,22749,0,90695,1036,713,542027,6441,0,20484,93551,0,0,460,0,486,0,31448,2378,1751,1186,830,6761,2742,40248,669,9475,923,4662,0,1547,17300,2112,60863,39971,3794,219326,17281,99727,0,3808,20841,735,2865,4711,0,50391,170838,63215,507538,5553,0,20588,3400,4209,0,4625,5833,3637,2879,0,6318
D11B26T,0,32195,34237,0,0,0,0,873,7200,0,1192,0,0,0,3646,2973,2338,17490,34649,4591,0,21753,85427,57928,202131,2712,11272,9440,257311,5941,10594,1507,0,19674,478048,66732,1761327,620,3044,25878,1571,3951,11426,5452,4265,6431,27608,1286,5737,42651,1288497,740691,0,0,1904,21991,772357,290,0,3224,51064,416257,2513,10778,0,28252,4011,196215,25025,1938,12317,12935,109071,15859,9108,1580537,4286,8224,22869,7086,12765,2484,13599,2395,1365,2421,84836,1430992,63136,5553,8817,9789,94329,64681,133877,0,0,6622,7466,5704,2653,2707,7549,872,8479,1544517,872066,28418,30909,261340,37667,3096,12436,0,2164,0,26825,4201,53682,0,1054,399,0,0,0,0,117876,91527,289982,237545,410437,2692,2048,3222,0,0,6262,5196,1038244,3266,58985,27493,758,585036,36481,3143,416,389,0,8545,1342,7022,0,4248,1782,11235,1717,11881,1436,7192,10907,23019,1940,1298,2351,12019,3183,21019,19805,142823,40635,303467,8313,0,6159,0,1183,0,8269,0,14081,1511,552,141858,18651,0,66300,441449,1420,0,2850,0,7024,0,78995,1975,2478,5588,567,0,2104,25306,2670,17539,788,2885,0,730,13439,2322,15680,18290,2267,119536,41279,304950,2186,15239,262310,4528,3096,4663,0,20918,53525,27355,525312,4235,1259,63870,5756,27633,5077,2897,6319,4903,4194,0,15785
D11B18B,425,8835,9533,0,0,0,0,1236,6146,0,0,0,0,0,2598,1823,9746,19137,31225,3773,0,34842,94644,25797,257436,659,13189,17756,398042,7654,11224,794,2970,23169,573537,99616,1524777,993,7533,29754,1414,4643,7836,4380,5019,4890,23280,470,3872,43321,1438235,685734,0,0,1855,18078,781283,9360,4730,4435,75479,555974,3564,17249,12741,28904,11766,296677,30646,1747,13773,11551,133740,30484,10335,1282476,4931,10337,23071,12414,23344,1256,9290,4929,6918,1889,121809,1067497,84065,67424,10517,12708,131341,76249,166414,7197,7014,5407,3936,6706,6449,3573,9784,266,13349,1354643,1081762,51736,25506,225715,48178,19242,20132,2681,2982,1451,92467,7015,46570,1811,3823,9980,1864,3900,1051,0,96911,99664,294436,303364,671336,1931,4973,2424,0,0,6687,7608,1115115,3789,65830,11915,309,615439,58287,1858,0,601,0,5154,602,3602,0,2070,1141,7156,1245,4938,856,3668,7214,8719,1237,522,1491,8378,2629,14817,16927,100580,21405,138001,5772,0,5570,1356,2974,0,5958,794,35235,587,0,247105,5101,0,61407,371485,0,451,443,0,1424,0,45961,909,1534,5292,0,1653,887,10512,1342,4703,0,1854,0,675,6694,886,14695,17464,0,86864,20319,136719,1495,7535,79981,1921,1795,3277,0,17258,48508,40595,733185,3763,0,62445,4282,18721,3189,2156,2927,3021,4904,0,4501
D11B210B,0,6537,6277,0,0,0,0,3196,8630,0,0,0,0,0,7585,2920,16123,52895,34785,6555,0,74716,111635,18936,202240,3251,11114,51978,514454,9802,2992,2622,9647,35208,467231,147944,1757430,1023,6071,20355,1866,7460,7233,2732,6063,1352,43474,1170,1872,67897,1371540,142416,0,0,535,29562,617159,14025,0,8694,109019,761239,1447,21482,10462,44041,24746,491729,23575,998,12317,12116,158685,42643,4702,1060061,4668,1543,33114,11085,21438,3933,57049,8777,11367,3746,235778,1103606,97550,0,11652,22152,231647,142036,108519,10201,5727,5642,3751,9086,16046,4116,10270,217,22400,1096738,753553,16821,21733,64905,44867,33502,16301,3336,4581,2347,144606,33211,21890,2645,6714,8451,0,4306,1445,445,135363,65197,223046,582181,585397,4053,726,1713,0,29136,9539,11637,1115843,2997,56703,82991,2374,534930,53134,2290,316,0,0,6226,883,1693,750,2624,1451,8863,1123,7510,1074,4845,8246,10068,2669,1075,2868,9433,4163,23518,24190,145767,17088,100559,3762,0,6730,3246,1724,0,9471,0,60791,0,591,367280,6361,0,29751,152005,0,0,315,0,1143,0,35835,2702,3890,2653,687,2591,1473,15915,956,5945,406,2979,944,890,8012,993,23689,25830,2439,130010,16456,99228,1174,3871,29733,1392,1815,3023,0,24502,75695,51300,600965,4171,0,30387,3003,6078,1737,2369,3902,3516,3847,294,2154
D11B212T,0,8090,8504,0,0,0,0,743,5130,0,954,0,0,0,1250,1784,7591,28207,31344,6434,0,43808,75744,32949,169785,3342,9741,18654,231036,9356,7898,0,1132,21680,437356,92996,1395722,1642,6584,28541,1519,3303,7762,2774,3485,3744,35517,771,2538,41814,1240204,424431,0,0,3252,19705,690252,0,0,4648,69477,404689,3846,13218,13296,15900,12172,367400,26936,2906,12207,11936,123248,29733,5553,957851,7890,7344,24269,15318,22466,0,25815,5557,10976,2236,186166,1256683,71201,67389,13798,17337,214781,192134,280847,10628,4050,6766,3634,6505,12445,3229,11191,1087,5466,1260135,1201859,61886,22399,207206,50866,28255,25146,3733,3529,0,22702,3960,27376,0,0,838,0,2100,0,501,120659,97121,275185,510020,706111,834,10356,5728,2230,0,5656,5878,912262,2836,52736,11861,2655,487417,62832,2490,307,265,0,5532,1012,5087,521,3392,1286,7941,1257,7357,948,4965,7123,7619,1876,846,1829,8212,3651,24472,22756,166237,22341,177973,8411,0,9024,2678,5837,0,12127,825,67536,637,0,554078,9087,0,67536,414992,0,0,632,0,2817,0,44834,1673,2401,3002,0,2015,1664,10746,761,5109,733,2313,0,0,7686,825,25048,22024,2498,132521,22804,173324,2018,8874,69637,2380,1781,2442,0,40395,151902,62561,996586,8037,1291,66861,8244,16452,3218,3457,5031,4832,7325,0,5617
D11B110C,297,11650,13692,476,0,0,0,1239,4227,0,1032,0,0,1215,5533,2677,10848,24706,41470,5330,1433,52175,114835,37458,216671,3220,16262,17785,305566,10101,13321,2564,4109,28707,743531,89815,1247286,2711,8401,36019,1168,4038,6211,3937,4990,4851,33337,0,5097,44298,1225740,636092,1590,0,130,18642,835097,844,0,5086,85351,543268,4583,18937,15714,53721,16130,357016,31271,713,13593,10969,132717,47654,13626,725644,4648,11496,24493,14320,28239,2170,22885,4761,11966,2592,162372,739596,59011,0,15140,18967,294391,213679,200309,10533,7073,3636,3279,9213,11795,1630,11859,619,4934,1166092,676401,54518,16633,240045,46488,26301,25464,2064,3442,1024,31640,5717,36004,1750,2096,4192,0,1794,0,0,126256,126447,305677,397057,778349,734,7065,3921,1727,0,5413,7281,1079498,5969,106354,217358,4035,622324,65857,1876,0,0,0,4421,0,3275,531,2024,1023,7059,617,4784,469,1272,6744,18013,1917,892,2855,7843,3593,23276,24781,186977,27331,233689,8862,0,9846,1925,4630,0,8336,1048,54555,1108,414,432626,10237,0,82237,609221,0,0,920,0,1382,0,61753,829,2832,2280,528,2303,946,16458,994,7189,0,1645,489,531,10081,0,24045,22474,1565,120637,25771,219228,2087,6128,87547,2729,2066,4321,875,34970,95744,51445,702390,7782,1190,75797,6617,22193,3592,3372,4416,3424,7311,0,12663
D11B112C,0,10673,13048,0,0,0,0,1575,3916,213,0,0,0,0,6880,3444,8680,17567,27266,7991,0,49837,118561,41718,195860,320,14105,23313,260076,9212,8455,2628,2607,25172,399235,83899,1245532,1110,6708,27950,728,3397,5756,2900,4416,4348,38643,0,6730,66907,1237512,514317,0,0,3892,24202,825713,872,0,5762,94850,565222,2960,16960,14154,20235,14580,434000,28284,2177,12996,10940,103286,36717,12582,1220291,5258,8034,31935,15686,26464,2642,28398,5123,9773,2464,172304,725975,59873,0,13208,20534,310824,223285,154810,9642,4572,7038,5373,8679,14448,3373,11997,1173,16350,961227,922403,35100,11920,117879,44585,34567,21096,2213,3803,1530,23273,1511,37183,1378,2651,2674,0,1407,0,0,119875,89927,261917,506689,715333,3042,8676,5362,0,0,5393,7362,993478,3644,81208,165570,941,563930,64034,2336,368,546,0,5968,1001,5730,603,2045,1328,8511,1361,8830,1349,5902,6708,16832,2921,1217,3528,6789,5246,41756,34120,270317,25219,224937,8187,0,13206,3857,8700,0,12804,1657,81226,832,618,616850,5387,0,65324,418192,0,0,568,0,934,0,58886,1911,4649,3248,490,2128,1536,19113,680,7251,560,2230,0,868,11829,1082,37837,30044,3323,162397,25300,201576,2316,7163,61138,2731,2043,3348,0,65676,198169,57580,713637,7764,0,57595,6434,12691,2778,5183,7175,3853,10592,0,8092
D11B210C,358,14368,14934,0,0,0,424,1115,4097,0,0,0,0,0,4693,1866,6964,17916,43575,6409,0,40180,117738,48318,226447,3378,15495,16218,263830,8390,10630,2241,2036,18952,516402,81309,1463888,3176,6657,25739,902,3491,13023,3668,3181,4937,34451,0,6895,79259,1460908,922069,0,0,7552,28250,1097716,4352,0,3963,56164,378617,4650,16313,11189,31580,10594,190386,21347,2352,10355,10481,168001,21244,9553,208483,3565,6485,27695,9373,17537,2794,35801,3404,5679,1515,84465,1419897,47018,3456,11202,9062,102270,62558,78092,0,0,5032,2504,6361,4514,3290,7883,1634,10902,977795,680917,26447,14383,137724,33310,11635,13006,2183,2425,1790,25249,390072,25789,14414,4184,3209,0,2121,271,0,138666,109488,302344,358644,585098,3557,8175,372,1955,0,8197,7503,1161890,5616,85311,14060,3280,705949,61700,2803,0,737,678,6611,780,989,695,2380,1146,9391,0,7503,595,4504,7334,13979,1901,889,2340,7491,3163,22955,22991,173961,26745,221012,6516,0,9099,2019,1516,0,8566,1180,50998,763,645,401039,5718,1776,99270,695534,0,346,933,0,1467,0,57442,1629,3086,2912,0,2000,1675,16382,839,7715,0,3725,0,0,10938,1030,20857,22330,2866,130920,26850,210543,0,10401,93790,2485,2361,4227,0,31936,105334,48152,839879,9127,1616,89779,8848,29963,5198,3171,5166,4512,8094,412,10120
D11B16C,0,28825,27921,0,0,0,0,942,4641,0,0,0,0,905,2972,0,5074,19050,42850,3859,0,25369,103417,45953,265208,808,14372,10943,278678,6683,16362,1728,2005,20413,655195,64652,1320981,3542,5860,33966,1323,8599,10563,6077,5760,6272,24227,1055,4698,35177,1222791,1041316,0,0,1194,18540,862371,14714,7866,3342,78555,714486,4530,3982,0,54927,5165,235286,33701,433,13396,11146,159809,36856,12592,1258752,8789,15007,20007,9527,20073,0,14021,2923,6409,2892,112315,774915,54237,9610,13771,10621,132827,84885,126289,0,0,7850,7890,7376,3530,3062,9233,494,12319,1307125,1084762,64370,26032,388231,46437,10294,20210,3510,2852,1230,129642,10620,46656,2669,6761,25703,6056,3275,1260,0,139296,142713,267684,344115,696286,0,1543,469,0,8238,5739,5089,1084951,6654,81407,165415,796,660811,32852,2120,304,0,0,4509,745,868,533,1949,948,6438,685,5232,665,3335,5770,8119,1228,1368,2325,6054,2161,1115,12120,88937,23183,190521,10289,0,6072,1266,2081,0,5622,0,12334,1644,0,108661,9307,0,59779,447826,0,0,1857,0,16303,0,70647,1077,2297,5207,0,0,1228,12606,2177,10138,835,2788,0,580,9534,1558,12679,12387,0,86985,23838,184471,2477,10008,160772,5408,1906,3301,0,13862,36013,27294,442415,5680,0,57941,5676,25997,8764,1362,3140,3225,2979,0,2572
D11B110T,0,22325,22934,0,0,0,0,1472,5508,0,1273,0,999,0,3610,3096,1954,21319,35139,7991,0,33615,102021,102139,221665,2833,12012,12184,229580,7495,11951,0,1794,16101,423014,70606,1635175,1847,6050,27808,1348,4665,7447,3837,5571,3877,36713,1256,2416,53224,1264035,410870,0,0,1299,20541,618182,2212,0,6284,71585,486404,4037,14250,13671,16333,8212,288540,7063,805,12969,11525,69370,21159,10348,831239,8275,9085,27619,10182,20769,5128,17593,3823,5846,3707,113858,1187246,53831,18976,9575,9667,99441,63337,77798,0,0,7161,5315,5663,5311,3369,9117,7030,10381,1261796,723342,41057,18372,140803,35499,9766,14680,0,3087,925,19592,3063,38284,0,0,2344,785,0,0,0,132438,137089,292584,376287,589602,6212,17140,3959,0,0,6079,6897,930189,0,62542,22106,0,657610,50623,2075,494,761,0,7643,1248,6777,821,3237,1801,2426,0,8849,939,5990,8314,17824,2594,1264,3090,7659,4554,35671,30339,257449,37115,334796,9844,0,10485,3415,4953,0,14125,1415,21144,1362,907,449385,11407,0,90282,666996,961,0,1803,0,6606,0,96138,2202,2937,8390,0,2502,2941,23367,1926,13377,1165,4625,0,1005,11741,1832,31560,31578,3419,238453,37907,339960,3524,13203,137877,4932,2701,4461,1230,41346,129501,56805,975850,8228,1021,87757,9465,25288,6826,3650,6422,6833,8070,537,17992
D11B26B,0,20027,19944,774,0,0,0,1964,5364,0,0,0,680,0,2555,0,5293,16773,35608,5005,0,25178,84857,70245,218367,789,13419,12505,291477,5868,11872,2083,1880,21131,464069,68349,1666390,1382,7334,29161,1536,5547,13414,5121,5214,3060,26208,0,3993,31859,1151874,631362,0,0,85,16250,722666,1090,0,5121,65508,619703,3502,12131,12297,34516,4202,178578,6777,213,11028,10899,108471,15551,9856,1610643,7002,6936,23570,12163,19886,3318,14231,2994,4542,2578,69405,1332200,62131,5401,7328,7320,76852,64728,106735,0,0,6093,6164,5802,4176,3016,8577,3763,8894,1419185,706202,42100,27555,243159,33795,8254,13935,2618,2635,1804,14179,2529,14076,0,1999,1821,0,0,0,0,87256,92580,244713,238947,488441,4125,8342,288,0,0,5970,7056,959760,3383,55363,5734,3276,513143,34435,3067,357,612,0,8564,1703,8701,677,2627,1705,10608,2067,13447,1747,7961,8041,3244,398,842,3227,6988,3546,23113,22613,158119,36962,276080,7721,0,7400,2231,3269,0,7917,0,34384,1436,599,253856,12811,0,101674,708633,0,0,2202,0,5061,0,64559,3408,2250,7142,0,3387,2114,21646,1596,12182,699,4293,0,0,13769,1359,18626,22710,2438,139694,35182,276105,2419,13203,212145,3332,2946,4585,553,22491,62590,49828,852506,5627,1492,99159,9790,46759,9264,2616,4326,4923,6747,0,11439
